employee_id,in_degree_weighted,out_degree_weighted,betweenness,eigenvector,pagerank,clustering_coeff,in_degree_weighted_norm,out_degree_weighted_norm,betweenness_norm,eigenvector_norm,pagerank_norm,influence_score,full_name,department,job_level_name,network_role
EMP00764,8,10,2.517598010090533e-06,0.18739906076478938,0.0031253820098041955,0.1838109041691498,0.34782608695652173,0.4166666666666667,0.005982292414453219,0.5236948464758927,0.21860987516379096,0.2569,"Raina Wibowo, S.E.I",Legal,Specialist,Central Connector
EMP00570,9,13,0.00019622578490313962,5.4896574635703087e-05,0.0021099356231931844,0.05001529562614783,0.391304347826087,0.5416666666666666,0.4662698412698413,0.00015341087147699624,0.14758284323099272,0.2551,Safina Wijayanti,HR,Staff,Central Connector
EMP00750,6,3,0.0002454909819639278,4.438847616778812e-09,0.0012956462414339918,0.0,0.2608695652173913,0.125,0.5833333333333333,1.2404553212337307e-08,0.09062606177670579,0.2498,"Juli Kusmawati, M.TI.",Data & Analytics,Staff,Central Connector
EMP00545,6,9,0.00024048096192384768,3.5289606258680387e-13,0.0014482469023906212,0.0,0.2608695652173913,0.375,0.5714285714285714,9.861834342398551e-13,0.10129996062714766,0.2489,Jarwadi Handayani,Finance,Staff,Central Connector
EMP00762,9,13,1.5865063460253838e-05,0.16059140766805352,0.0026551414991755,0.1,0.391304347826087,0.5416666666666666,0.03769841269841269,0.44877969100190174,0.18571814576782608,0.2482,"Anastasia Padmasari, M.Kom.",Legal,Senior Staff,Central Connector
EMP00777,9,13,1.87875751503006e-05,0.14145647553061771,0.0029477616550682,0.047619047619047616,0.391304347826087,0.5416666666666666,0.044642857142857144,0.39530628880263147,0.20618593356126763,0.242,Febi Prayoga,Legal,Staff,Central Connector
EMP00746,9,3,1.002004008016032e-05,1.5628800037972192e-09,0.008587181156629113,0.0,0.391304347826087,0.125,0.023809523809523808,4.367536316930202e-09,0.6006442075786944,0.2356,"Tgk. Kalim Utama, S.E.I",Data & Analytics,Staff,Central Connector
EMP00765,7,9,3.1889574794480085e-05,0.15812534725308405,0.0022165722767161712,0.27516060407455223,0.30434782608695654,0.375,0.07577570391640744,0.44188817764453936,0.1550417155996876,0.2328,"Hj. Hesti Firmansyah, M.Farm",Legal,Staff,Central Connector
EMP00561,10,9,0.00013595029254488878,9.087639390323485e-05,0.002675349161412754,0.1061877033832229,0.43478260869565216,0.375,0.3230437903804738,0.00025395804524960217,0.1871316032284438,0.2307,Drs. Capa Utama,HR,Staff,Central Connector
EMP00767,10,13,5.385771543086172e-05,0.07902078392252064,0.0026723571647240285,0.07337616108654726,0.43478260869565216,0.5416666666666666,0.12797619047619047,0.2208270262178635,0.18692232320425445,0.2273,Iriana Andriani,Legal,Specialist,Central Connector
EMP00235,4,9,0.0002354709418837675,6.4217814173010694e-21,0.0013275951478205466,0.0,0.17391304347826086,0.375,0.5595238095238094,1.794594817983801e-20,0.0928607794575764,0.2259,Salsabila Latupono,Product,Senior Staff,Central Connector
EMP00743,19,0,0.0,9.849841244888702e-09,0.003453368627247205,0.0,0.8260869565217391,0.0,0.0,2.752581084186045e-08,0.24155142703479007,0.2256,Yunita Oktaviani,Data & Analytics,Senior Staff,Central Connector
EMP00208,3,4,0.0002454909819639278,3.6744760964346125e-22,0.0009435151978793004,0.0,0.13043478260869565,0.16666666666666666,0.5833333333333333,1.0268483669813683e-21,0.06599568915943675,0.2176,Julia Namaga,Product,Senior Staff,Information Broker
EMP00694,10,10,0.0001503006012024048,7.0771135194533094e-09,0.0012412612304884938,0.07706853816176563,0.43478260869565216,0.4166666666666667,0.35714285714285715,1.9777302313774117e-08,0.08682201465021656,0.2158,"Kariman Situmorang, S.E.I",Data & Analytics,Staff,Central Connector
EMP00702,3,3,0.00021651342886778584,2.763744913796619e-09,0.001627230372772991,0.0,0.13043478260869565,0.125,0.5144771476429768,7.723405669283886e-09,0.11381924754757224,0.2089,T. Budi Utami,Data & Analytics,Staff,Information Broker
EMP00715,10,6,0.000125250501002004,1.369854057228264e-08,0.0017710906659859436,0.08333333333333333,0.43478260869565216,0.25,0.2976190476190476,3.8281168927252425e-08,0.12388178730804146,0.2072,Mutia Hidayanto,Data & Analytics,Senior Staff,Central Connector
EMP00726,6,3,0.0001753507014028056,6.693564786521084e-10,0.0013397861033382554,0.0,0.2608695652173913,0.125,0.4166666666666667,1.870545865570438e-09,0.09371349546332977,0.2006,Kiandra Susanti,Data & Analytics,Staff,Central Connector
EMP00559,7,19,0.00013652304609218437,4.4523285937754066e-05,0.002343844732602981,0.017857142857142856,0.30434782608695654,0.7916666666666666,0.3244047619047619,0.00012442226390365865,0.16394399237927004,0.1992,"Cawuk Gunarto, S.H.",HR,Staff,Central Connector
EMP00725,16,0,0.0,1.310174586530792e-08,0.0034238856095087705,0.1100642416298209,0.6956521739130435,0.0,0.0,3.661340009654826e-08,0.23948918990440649,0.199,Bakti Hardiansyah,Data & Analytics,Staff,Central Connector
EMP00227,7,10,0.00014529058116232463,9.01438102826854e-25,0.001798036609037333,0.0,0.30434782608695654,0.4166666666666667,0.3452380952380952,2.5191080837910404e-24,0.1257665646658672,0.1959,Jane Sirait,Product,Staff,Central Connector
EMP00539,6,3,0.0001653306613226453,3.945811200205549e-11,0.0014781731282788953,0.0,0.2608695652173913,0.125,0.39285714285714285,1.1026741448336872e-10,0.10339319866494161,0.1959,R. Vanya Yolanda,Finance,Senior Staff,Central Connector
EMP00747,6,6,0.00016112627264579411,1.0735600676858961e-09,0.001390567539146193,0.0,0.2608695652173913,0.25,0.38286671452500604,3.0001104196305027e-09,0.09726548472665403,0.1914,Luhung Melani,Data & Analytics,Senior Staff,Central Connector
EMP00840,12,13,6.2625250501002e-05,3.6187630843423035e-22,0.002268622890014741,0.037511471719610875,0.5217391304347826,0.5416666666666666,0.1488095238095238,1.0112791228265048e-21,0.15868247952541067,0.1887,Sutan Kemal Nasyiah,Customer Success,Specialist,Central Connector
EMP00515,12,5,2.0140784080724264e-05,5.512250515663606e-11,0.003843348921472002,0.0,0.5217391304347826,0.20833333333333334,0.047858339315625754,1.5404224416900093e-10,0.2688292264107974,0.1859,"T. Elvin Simbolon, S.IP",Finance,Staff,Central Connector
EMP00731,6,6,0.00014028056112224449,4.1790921354477473e-10,0.0018366549291136671,0.0,0.2608695652173913,0.25,0.3333333333333333,1.1678655193629077e-09,0.12846778522208704,0.1843,Bakijan Wijaya,Data & Analytics,Specialist,Central Connector
EMP00577,6,4,3.272877413117693e-05,9.795404493482541e-05,0.006205759551057658,0.16666666666666666,0.2608695652173913,0.16666666666666666,0.07776980138789184,0.000273736849664481,0.43407184033743484,0.1841,Elvina Prabowo,HR,Senior Staff,Central Connector
EMP00500,11,0,0.0,1.110461373400055e-10,0.005057406476290368,0.0,0.4782608695652174,0.0,0.0,3.1032327274578185e-10,0.3537484361803346,0.1841,Ira Simbolon,Finance,Senior Staff,Central Connector
EMP00575,10,3,7.93253173012692e-05,8.102031428201059e-05,0.0019858045342339608,0.08333333333333333,0.43478260869565216,0.125,0.1884920634920635,0.00022641480099305983,0.138900294417377,0.1783,"Mumpuni Anggraini, M.TI.",HR,Lead,Central Connector
EMP00225,3,6,0.0001913374487668805,6.699984335348135e-20,0.0009015043204292181,0.0,0.13043478260869565,0.25,0.45465422349844464,1.8723398364813415e-19,0.06305717071718744,0.1782,Asirwanda Rajata,Product,Senior Staff,Central Connector
EMP00295,12,0,0.0,4.9572858305599975e-22,0.004175538175797808,0.0,0.5217391304347826,0.0,0.0,1.3853351406230853e-21,0.29206473848295744,0.1774,Mila Handayani,Marketing,Staff,Central Connector
EMP00224,6,9,0.00013026052104208417,4.1257587115623375e-11,0.0015961109467418756,0.05,0.2608695652173913,0.375,0.30952380952380953,1.15296126150819e-10,0.11164254920526075,0.1729,Sakti Hariyah,Product,Staff,Central Connector
EMP00769,6,13,0.0,0.11933256140514018,0.0021305966130318694,0.22306029412456452,0.2608695652173913,0.5416666666666666,0.0,0.3334800461090783,0.14902800942035024,0.1728,Olivia Suryatmi,Legal,Senior Staff,Central Connector
EMP00504,12,0,0.0,8.222695820997367e-11,0.003900643989485885,0.0,0.5217391304347826,0.0,0.0,2.2978682006309577e-10,0.2728368221628445,0.1726,Maimunah Wijayanti,Finance,Senior Staff,Central Connector
EMP00553,6,14,0.0001248329993319973,5.0674701045514415e-05,0.0017340894884979646,0.11237540676644583,0.2608695652173913,0.5833333333333334,0.2966269841269841,0.00014161266164269218,0.12129368039305122,0.1715,Ratna Puspasari,HR,Senior Staff,Central Connector
EMP00717,9,9,7.552794030271599e-05,8.681949044765605e-09,0.002147326591995347,0.0,0.391304347826087,0.375,0.17946877243359657,2.4262085164966472e-08,0.1501982147268458,0.1697,Novi Hariyah,Data & Analytics,Senior Staff,Central Connector
EMP00825,12,0,0.0,6.148453414454026e-19,0.003739570100373347,0.08333333333333333,0.5217391304347826,0.0,0.0,1.7182121157950183e-18,0.26157024973087345,0.1697,"Queen Anggriawan, S.T.",Customer Success,Lead,Central Connector
EMP00218,13,0,0.0,4.125758498638407e-11,0.002980123489048915,0.09172020135818408,0.5652173913043478,0.0,0.0,1.1529612020056691e-10,0.2084495341273433,0.1652,Harsaya Sirait,Product,Senior Staff,Central Connector
EMP00579,6,12,0.00010238231907701501,3.57675910310442e-05,0.0021283670580238907,0.039521036716556254,0.2608695652173913,0.5,0.24327989152109758,9.995409271194519e-05,0.1488720596067159,0.1624,Darmanto Mandala,HR,Staff,Central Connector
EMP00958,6,6,0.00011022044088176352,3.423650004019039e-22,0.0018062933190630172,0.0,0.2608695652173913,0.25,0.2619047619047619,9.567539217778295e-22,0.12634409353827902,0.1623,Eja Marpaung,Research,Staff,Central Connector
EMP00204,12,3,3.507014028056112e-05,4.1257579014537176e-11,0.0018484157767954907,0.0,0.5217391304347826,0.125,0.08333333333333333,1.1529610351198039e-10,0.12929041664297528,0.1617,Puput Hutapea,Product,Specialist,Central Connector
EMP00581,12,3,2.5050100200400798e-05,6.29279547691688e-05,0.0020440056758386587,0.05,0.5217391304347826,0.125,0.059523809523809514,0.0001758549134525531,0.14297126694511297,0.158,"Puti Ophelia Namaga, M.TI.",HR,Manager,Central Connector
EMP00773,9,12,0.0,0.06761694301057064,0.0017640651157505335,0.1734827028046404,0.391304347826087,0.5,0.0,0.18895849554729105,0.12339037388878518,0.1563,dr. Galar Natsir,Legal,Lead,Central Connector
EMP00576,3,8,9.519038076152303e-05,4.227972250021533e-05,0.0033189275924769713,0.0,0.13043478260869565,0.3333333333333333,0.22619047619047616,0.00011815252805127098,0.2321477324669529,0.152,Anita Tarihoran,HR,Staff,Central Connector
EMP00549,3,3,0.00015105588060543198,3.528960626062447e-13,0.0009357448772199682,0.0,0.13043478260869565,0.125,0.35893754486719315,9.861834342941833e-13,0.065452181574127,0.1501,Ani Hakim,Finance,Lead,Information Broker
EMP00567,10,11,5.511022044088176e-05,3.555531254334143e-05,0.0013226247236374459,0.05,0.43478260869565216,0.4583333333333333,0.13095238095238096,9.936087122207247e-05,0.09251311513789638,0.1494,Tari Wahyuni,HR,Staff,Central Connector
EMP00534,9,12,6.545754826235386e-05,5.0824001855385605e-11,0.001361335868353627,0.0,0.391304347826087,0.5,0.1555396027757837,1.4202988926584637e-10,0.09522082846295708,0.1487,Karta Melani,Finance,Staff,Central Connector
EMP00771,6,17,3.173012692050768e-05,0.06671355768211369,0.0015578818885262466,0.1026680034488802,0.2608695652173913,0.7083333333333334,0.0753968253968254,0.18643394585657175,0.10896855619642803,0.1486,"Dina Maryati, S.Kom",Legal,Staff,Central Connector
EMP00239,3,18,0.00014602068458525092,6.148178398018864e-11,0.0010134818592721837,0.023809523809523808,0.13043478260869565,0.75,0.3469729600382867,1.718135261253057e-10,0.07088961990606049,0.1479,Cici Prastuti,Product,Senior Staff,Central Connector
EMP00495,3,6,0.00014028056112224449,2.41357863949597e-11,0.001183067775800192,0.0,0.13043478260869565,0.25,0.3333333333333333,6.744850747436756e-11,0.08275157979622047,0.1468,"R. Padmi Wahyuni, S.Sos",Finance,Specialist,Central Connector
EMP01000,6,8,6.012024048096192e-05,3.021831128712144e-18,0.002916772204691921,0.0,0.2608695652173913,0.3333333333333333,0.14285714285714285,8.444638850208799e-18,0.20401832657533722,0.146,Juli Astuti,Research,Senior Staff,Central Connector
EMP00324,12,0,0.0,2.633164639029344e-24,0.002296776783395153,0.0,0.5217391304347826,0.0,0.0,7.358493397749829e-24,0.16065174891326775,0.1445,drg. Siska Lestari,Marketing,Specialist,Central Connector
EMP00556,9,10,2.254509018036072e-05,0.00010259768439749893,0.0027666934069974433,0.05503212081491045,0.391304347826087,0.4166666666666667,0.05357142857142857,0.000286713702619718,0.1935208235098553,0.1428,Dr. Olivia Maryadi,HR,Staff,Central Connector
EMP00755,6,9,2.004008016032064e-05,0.06846022130317518,0.0015972917494842633,0.08333333333333333,0.2608695652173913,0.375,0.047619047619047616,0.1913150735054713,0.11172514235364922,0.1422,Dr. Kasiran Lestari,Legal,Senior Staff,Central Connector
EMP00546,7,6,7.51503006012024e-05,3.218104852661295e-11,0.0015054440421372324,0.0,0.30434782608695654,0.25,0.17857142857142858,8.993134329915682e-11,0.10530070662891912,0.1408,"Gadang Saefullah, M.Farm",Finance,Senior Staff,Central Connector
EMP00552,11,6,1.002004008016032e-05,9.435789129587823e-05,0.0021486334578653204,0.1100642416298209,0.4782608695652174,0.25,0.023809523809523808,0.00026368724151721315,0.15028962556359937,0.1404,Ir. Ophelia Winarno,HR,Senior Staff,Central Connector
EMP00950,11,0,0.0,3.035959507920955e-17,0.0025429254673235476,0.0,0.4782608695652174,0.0,0.0,8.4841212219481e-17,0.1778690148015708,0.1401,"Puti Paris Gunarto, S.H.",Research,Senior Staff,Central Connector
EMP00972,10,3,3.006012024048096e-05,4.409333390126804e-21,0.0017901271965303108,0.0,0.43478260869565216,0.125,0.07142857142857142,1.2322074419048272e-20,0.1252133280773942,0.1397,Wirda Prayoga,Research,Specialist,Central Connector
EMP00300,12,0,0.0,9.406174362251004e-25,0.0019653763313039977,0.0,0.5217391304347826,0.0,0.0,2.62859643931047e-24,0.13747141088303438,0.1387,"Bajragin Manullang, S.H.",Marketing,Senior Staff,Central Connector
EMP00585,11,3,2.171008684034736e-05,2.3817306898501965e-05,0.0015524239313202087,0.0,0.4782608695652174,0.125,0.051587301587301584,6.65585026348423e-05,0.10858679059474531,0.1383,"Ir. Yessi Marbun, M.M.",HR,Staff,Central Connector
EMP00201,3,6,0.00013091509652470772,2.146275227022658e-23,0.0009838856699426472,0.0,0.13043478260869565,0.25,0.3110792055515674,5.997859706038777e-23,0.06881946680658091,0.1366,"Digdaya Saefullah, M.M.",Product,Senior Staff,Central Connector
EMP00871,10,0,0.0,4.705315486291284e-13,0.0028228852732066455,0.0,0.43478260869565216,0.0,0.0,1.3149209292499004e-12,0.1974512540360052,0.1363,Legawa Firmansyah,IT Infrastructure,Staff,Central Connector
EMP00578,9,6,1.1690046760187038e-05,0.00012737618471844183,0.0028004565799052404,0.1100642416298209,0.391304347826087,0.25,0.027777777777777773,0.0003559583021845265,0.19588244298272398,0.1357,Vivi Laksita,HR,Senior Staff,Central Connector
EMP00514,12,0,0.0,3.063382270783697e-11,0.0017001611887585413,0.09172020135818408,0.5217391304347826,0.0,0.0,8.560755328483851e-11,0.118920510858163,0.1341,Pranata Mandala,Finance,Senior Staff,Central Connector
EMP00728,6,7,8.016032064128256e-05,4.438847616778812e-09,0.0013700730693854875,0.0,0.2608695652173913,0.2916666666666667,0.19047619047619047,1.2404553212337307e-08,0.09583196605217474,0.1333,"dr. Ratih Sihotang, S.Kom",Data & Analytics,Lead,Central Connector
EMP00898,10,0,0.0,3.743857652719111e-19,0.002644274223062773,0.0,0.43478260869565216,0.0,0.0,1.0462373454097469e-18,0.18495801664859482,0.1332,"Lukita Suartini, S.Gz",IT Infrastructure,Senior Staff,Central Connector
EMP00893,9,3,1.503006012024048e-05,4.494421185793112e-22,0.0023135899856262434,0.08333333333333333,0.391304347826087,0.125,0.03571428571428571,1.2559855974124305e-21,0.1618277754051693,0.1294,R.M. Harsanto Prasasta,IT Infrastructure,Staff,Central Connector
EMP00720,9,0,0.0,5.56785807723315e-09,0.002886321638700716,0.0,0.391304347826087,0.0,0.0,1.55596221723649e-08,0.20188841272508723,0.1287,"Zelda Situmorang, S.Sos",Data & Analytics,Staff,Central Connector
EMP00955,9,0,0.0,4.555853314883695e-20,0.0028862947614766744,0.0,0.391304347826087,0.0,0.0,1.2731530737495503e-19,0.20188653275439117,0.1287,Wisnu Sihotang,Research,Staff,Central Connector
EMP00841,6,7,3.507014028056112e-05,6.101277140300663e-19,0.002942566851362661,0.0,0.2608695652173913,0.2916666666666667,0.08333333333333333,1.7050285002799654e-18,0.20582257465473852,0.1286,Catur Simbolon,Customer Success,Specialist,Central Connector
EMP00802,7,13,6.012024048096192e-05,6.3100968095160265e-21,0.0013382476784391188,0.03668808054327363,0.30434782608695654,0.5416666666666666,0.14285714285714285,1.7633840673594316e-20,0.09360588785757337,0.1271,Irma Yuliarti,Customer Success,Specialist,Central Connector
EMP00565,9,9,3.230917446282851e-05,3.368916845323534e-05,0.0013907495942613137,0.1033547472099403,0.391304347826087,0.375,0.07677275265214964,9.414585019271613e-05,0.09727821886470966,0.1256,Gambira Kuswoyo,HR,Staff,Central Connector
EMP00709,9,3,2.004008016032064e-05,2.614255813077411e-10,0.0018850851583066405,0.0,0.391304347826087,0.125,0.047619047619047616,7.305651859144864e-10,0.13185531555432087,0.1255,Arsipatra Yuniar,Data & Analytics,Staff,Central Connector
EMP00759,3,9,5.260521042084168e-05,0.059346954234470235,0.0011575425721767167,0.16666666666666666,0.13043478260869565,0.375,0.125,0.16584765131582943,0.08096617834444471,0.1253,"H. Teddy Usamah, S.Ked",Legal,Senior Staff,Central Connector
EMP00512,6,3,7.014028056112224e-05,1.8817028898063916e-11,0.001225768747201285,0.0,0.2608695652173913,0.125,0.16666666666666666,5.258500773529794e-11,0.08573836797062043,0.1236,Rahayu Hakim,Finance,Staff,Central Connector
EMP00582,9,6,2.5050100200400798e-05,4.630842702230897e-05,0.0014233097450178501,0.1,0.391304347826087,0.25,0.059523809523809514,0.00012941091850202492,0.09955569101687278,0.121,Mitra Sirait,HR,Senior Staff,Central Connector
EMP00573,9,13,2.5050100200400798e-05,2.9476503336216782e-05,0.0014083449255610093,0.08333333333333333,0.391304347826087,0.5416666666666666,0.059523809523809514,8.237337383820337e-05,0.09850895263319802,0.1208,Syahrini Sitompul,HR,Senior Staff,Central Connector
EMP00698,10,0,0.0,5.8364955702666365e-09,0.001846956587136727,0.0,0.43478260869565216,0.0,0.0,1.6310341360058252e-08,0.1291883512736406,0.1193,Caraka Sinaga,Data & Analytics,Specialist,Central Connector
EMP00531,9,3,1.002004008016032e-05,9.171098361861524e-25,0.0018314080409913053,0.08333333333333333,0.391304347826087,0.125,0.023809523809523808,2.5629034259988116e-24,0.12810078318719026,0.1174,Ira Sirait,Finance,Lead,Central Connector
EMP00563,3,3,7.765531062124247e-05,2.5598385167642838e-05,0.002052422686347961,0.0,0.13043478260869565,0.125,0.1845238095238095,7.153580351838297e-05,0.14356000829286464,0.1174,Vicky Sirait,HR,Staff,Information Broker
EMP00492,3,6,9.063352836325919e-05,3.528960625859341e-13,0.0015227355157217556,0.0,0.13043478260869565,0.25,0.21536252692031588,9.861834342374245e-13,0.10651018658044269,0.1173,Cemeti Saputra,Finance,Staff,Central Connector
EMP00721,10,0,0.0,5.591477814877865e-10,0.0017016342492007918,0.0,0.43478260869565216,0.0,0.0,1.5625628559105412e-09,0.11902354644177451,0.1167,Prabawa Uwais,Data & Analytics,Staff,Central Connector
EMP00551,7,3,7.51503006012024e-06,3.9858874031577525e-05,0.0028107832045728147,0.0,0.30434782608695654,0.125,0.017857142857142856,0.00011138736144931072,0.1966047553664134,0.1154,Mariadi Iswahyudi,HR,Staff,Central Connector
