employee_id,full_name,department,job_level,job_level_name,hire_date,tenure_years,monthly_salary,gender,age,education,manager_id,engagement_score,is_flight_risk_sim,avg_salary,p25_salary,p50_salary,p75_salary,n_employees,salary_position,salary_gap_to_median
EMP00029,"Puti Prasetya, S.Psi",Engineering,4,Lead,2020-01-14,4.96,22953190,L,48,S1,,3.8,False,24546487.85714286,22680203.5,24457318.0,26287897.75,14,p25_to_p50,-0.0615001203320822
EMP00030,"Cut Ghaliyati Firmansyah, S.Psi",Engineering,4,Lead,2018-11-18,6.12,26609112,L,22,S1,,3.6,True,24546487.85714286,22680203.5,24457318.0,26287897.75,14,above_p75,0.0879816012532527
EMP00031,Hasna Haryanto,Engineering,1,Staff,2019-10-15,5.21,14266750,L,39,S1,EMP00155,3.9,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p25_to_p50,-0.03243852957377313
EMP00032,Vino Purnawati,Engineering,1,Staff,2020-11-10,4.14,14280560,P,49,S1,EMP00155,4.1,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p25_to_p50,-0.03150194458373782
EMP00033,"Iriana Prabowo, M.Kom.",Engineering,2,Senior Staff,2018-09-28,6.26,19444578,L,49,S1,EMP00155,3.3,True,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p50_to_p75,0.014656878855010134
EMP00034,Syahrini Haryanti,Engineering,4,Lead,2023-11-20,1.11,23096462,P,50,D3,,3.3,False,24546487.85714286,22680203.5,24457318.0,26287897.75,14,p25_to_p50,-0.05564207817063179
EMP00035,Eman Mandala,Engineering,1,Staff,2020-05-04,4.66,13598074,P,25,S2,EMP00155,1.8,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p25_to_p50,-0.07778768995008362
EMP00036,Panca Purwanti,Engineering,1,Staff,2019-11-09,5.14,13151306,L,40,S1,EMP00155,3.2,False,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.10808719775805561
EMP00037,T. Pangeran Padmasari,Engineering,1,Staff,2022-06-21,2.53,19758568,P,29,S1,EMP00155,5.0,True,14795718.7,13486210.5,14745058.0,15908522.0,70,above_p75,0.34001290466270123
EMP00038,Restu Wacana,Engineering,1,Staff,2022-11-19,2.12,14458153,L,46,S1,EMP00155,4.0,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p25_to_p50,-0.01945770576148293
EMP00039,Gawati Mandala,Engineering,2,Senior Staff,2021-06-18,3.54,18015556,P,25,S1,EMP00155,3.6,True,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p25_to_p50,-0.05991234050964485
EMP00040,drg. Bakijan Hardiansyah,Engineering,2,Senior Staff,2019-08-03,5.41,18900097,L,33,S1,EMP00155,3.3,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p25_to_p50,-0.013755226157289684
EMP00041,"Puti Eva Utami, S.E.",Engineering,5,Manager,2019-02-15,5.88,37985352,L,29,S1,,3.5,True,30678396.0,29090833.0,29991361.0,31924022.0,5,above_p75,0.26654312220108983
EMP00042,"Ir. Indra Riyanti, S.Pt",Engineering,3,Specialist,2019-02-06,5.9,23404485,P,25,S2,EMP00155,3.5,True,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p50_to_p75,0.004490715219993672
EMP00043,Kezia Riyanti,Engineering,1,Staff,2022-08-17,2.37,15605256,L,51,S1,EMP00155,3.5,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.05833805468923893
EMP00044,Paris Ramadan,Engineering,4,Lead,2022-03-06,2.82,17861851,L,37,S1,,3.3,False,24546487.85714286,22680203.5,24457318.0,26287897.75,14,below_p25,-0.2696725372749375
EMP00045,Dt. Maman Latupono,Engineering,2,Senior Staff,2021-07-31,3.42,24295624,L,36,S1,EMP00155,2.4,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,above_p75,0.26779413868868107
EMP00046,"Timbul Nasyiah, S.T.",Engineering,2,Senior Staff,2022-12-07,2.07,22787233,L,42,S1,EMP00155,3.9,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,above_p75,0.1890832865347805
EMP00047,"Ir. Ganep Kusumo, S.Pd",Engineering,3,Specialist,2018-09-27,6.26,25475406,L,47,S1,EMP00155,3.0,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p50_to_p75,0.09337200940160478
EMP00048,Endah Hasanah,Engineering,3,Specialist,2023-09-24,1.27,21865666,P,28,D3,EMP00155,4.3,True,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p25_to_p50,-0.061553438193512985
EMP00049,Xanana Saptono,Engineering,2,Senior Staff,2021-02-05,3.9,15727215,P,50,S2,EMP00155,3.0,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,below_p25,-0.17932253993983832
EMP00050,KH. Cemani Mayasari,Engineering,2,Senior Staff,2018-11-24,6.1,15622461,L,50,S1,EMP00155,2.7,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,below_p25,-0.18478881268114328
EMP00051,Tedi Utami,Engineering,1,Staff,2023-11-17,1.12,15700698,L,39,S1,EMP00155,3.6,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.064810867478446
EMP00052,Zaenab Uyainah,Engineering,3,Specialist,2023-03-03,1.83,17748058,L,49,S2,EMP00155,4.5,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,below_p25,-0.23827593411322956
EMP00053,Drs. Dalimin Mangunsong,Engineering,3,Specialist,2022-10-18,2.2,23299852,L,42,S1,EMP00155,3.7,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p50_to_p75,0.0
EMP00054,Vanesa Marpaung,Engineering,2,Senior Staff,2022-03-26,2.77,21783817,P,26,S1,EMP00155,2.8,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,above_p75,0.13672303748472764
EMP00055,KH. Virman Nuraini,Engineering,2,Senior Staff,2018-10-20,6.2,21281784,P,50,S2,EMP00155,3.2,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,above_p75,0.11052595381121118
EMP00056,Liman Sinaga,Engineering,5,Manager,2021-08-20,3.36,29090833,P,25,D3,,2.1,False,30678396.0,29090833.0,29991361.0,31924022.0,5,p25_to_p50,-0.030026246558133858
EMP00057,Anita Kusumo,Engineering,1,Staff,2023-05-28,1.6,12432364,L,35,S2,EMP00155,2.4,False,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.1568453647316952
EMP00058,Yance Samosir,Engineering,1,Staff,2019-12-09,5.06,10607217,P,45,S1,EMP00155,3.3,True,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.280625617071157
EMP00059,Asmianto Permadi,Engineering,1,Staff,2020-04-30,4.67,15314290,L,51,S1,EMP00155,3.9,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.038604934616059156
EMP00060,Puti Chelsea Laksita,Engineering,2,Senior Staff,2021-06-23,3.52,21205763,L,26,D3,EMP00155,3.2,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,above_p75,0.10655902634241053
EMP00061,"Puti Vanya Nasyidah, S.E.I",Engineering,1,Staff,2023-01-29,1.92,12349052,L,23,S2,EMP00155,2.5,False,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.16249552901046574
EMP00062,Maryanto Kusmawati,Engineering,2,Senior Staff,2018-09-12,6.3,22077883,L,49,S1,EMP00155,4.1,True,19160183.29032258,17140453.0,19163698.0,21001369.25,62,above_p75,0.15206798813047462
EMP00063,R.M. Eman Nuraini,Engineering,4,Lead,2020-02-28,4.84,26615266,P,37,S1,,2.7,True,24546487.85714286,22680203.5,24457318.0,26287897.75,14,above_p75,0.08823322328310897
EMP00064,"Ir. Lintang Prabowo, M.Pd",Engineering,3,Specialist,2023-11-01,1.17,29125986,P,30,D3,EMP00155,2.5,True,23711466.244897958,21585251.0,23299852.0,26477845.0,49,above_p75,0.2500502578299639
EMP00065,"H. Muhammad Pangestu, S.Pd",Engineering,1,Staff,2022-09-27,2.26,17241077,P,48,S1,EMP00155,3.1,True,14795718.7,13486210.5,14745058.0,15908522.0,70,above_p75,0.16927834397124786
EMP00066,Salsabila Yulianti,Engineering,2,Senior Staff,2020-12-28,4.01,19697526,L,45,S1,EMP00155,3.7,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p50_to_p75,0.02785621021579447
EMP00067,Maida Maryati,Engineering,2,Senior Staff,2021-01-08,3.98,22162077,L,42,S1,EMP00155,3.7,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,above_p75,0.15646139904730288
EMP00068,Devi Prayoga,Engineering,2,Senior Staff,2023-03-23,1.78,19205992,P,25,S1,EMP00155,4.3,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p50_to_p75,0.0022069853114988556
EMP00069,Atma Sirait,Engineering,1,Staff,2018-09-06,6.32,11817896,L,34,S1,EMP00155,1.7,True,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.198518174699618
EMP00070,Lanjar Puspasari,Engineering,3,Specialist,2021-05-06,3.66,19476364,P,36,S1,EMP00155,3.7,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,below_p25,-0.16409923977199511
EMP00071,Lanjar Prasetya,Engineering,2,Senior Staff,2020-08-05,4.41,21994039,L,31,S1,EMP00155,2.6,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,above_p75,0.14769284091202023
EMP00072,Bagus Usamah,Engineering,2,Senior Staff,2019-07-24,5.44,20456697,P,44,S1,EMP00155,3.2,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p50_to_p75,0.0674712678106282
EMP00073,Dartono Hidayat,Engineering,3,Specialist,2021-02-12,3.88,26477845,L,47,S1,EMP00155,3.7,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,above_p75,0.13639541573053768
EMP00074,Satya Sitompul,Engineering,1,Staff,2019-12-24,5.02,14263575,L,31,S1,EMP00155,1.9,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p25_to_p50,-0.032653855956348225
EMP00075,Kamidin Prakasa,Engineering,1,Staff,2022-08-18,2.37,9615447,P,40,S1,EMP00155,3.1,False,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.347886797054308
EMP00076,Salsabila Laksita,Engineering,1,Staff,2019-10-06,5.24,14345720,L,42,S1,EMP00155,3.3,True,14795718.7,13486210.5,14745058.0,15908522.0,70,p25_to_p50,-0.02708283683929897
EMP00077,Kayun Mustofa,Engineering,1,Staff,2021-05-27,3.6,17162426,P,26,S3,EMP00155,4.6,False,14795718.7,13486210.5,14745058.0,15908522.0,70,above_p75,0.16394428560403085
EMP00078,"Queen Permata, M.Kom.",Engineering,4,Lead,2020-05-29,4.59,24564090,L,26,S1,,4.4,False,24546487.85714286,22680203.5,24457318.0,26287897.75,14,p50_to_p75,0.004365646306761845
EMP00079,Purwanto Kusmawati,Engineering,1,Staff,2018-12-18,6.04,14023935,L,26,S1,EMP00155,3.5,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p25_to_p50,-0.04890608093911872
EMP00080,"dr. Dadap Kuswoyo, S.IP",Engineering,1,Staff,2018-07-20,6.45,13330642,P,39,S1,EMP00155,2.0,False,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.09592474983821699
EMP00081,"Irfan Thamrin, S.Farm",Engineering,2,Senior Staff,2021-09-22,3.27,19330844,L,42,S2,EMP00155,2.8,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p50_to_p75,0.008722011795426957
EMP00082,Nadia Habibi,Engineering,2,Senior Staff,2022-02-18,2.87,25443358,P,36,S2,EMP00155,3.4,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,above_p75,0.3276851889442215
EMP00083,"Martani Yuliarti, S.IP",Engineering,1,Staff,2021-11-06,3.15,14841809,L,32,S1,EMP00155,3.7,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.006561588296227794
EMP00084,Hadi Sirait,Engineering,2,Senior Staff,2022-03-19,2.79,17000730,P,27,D3,EMP00155,3.9,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,below_p25,-0.11286798612668598
EMP00085,"R. Drajat Nababan, S.Kom",Engineering,1,Staff,2021-09-05,3.32,15433287,L,30,S2,EMP00155,2.4,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.046675231796307615
EMP00086,drg. Cahyono Anggraini,Engineering,1,Staff,2020-05-29,4.59,12611360,L,49,S1,EMP00155,3.1,False,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.14470597538510868
EMP00087,Estiawan Hariyah,Engineering,1,Staff,2019-07-22,5.45,15539224,L,35,S1,EMP00155,4.4,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.05385980848634166
EMP00088,Taufan Hutagalung,Engineering,1,Staff,2018-09-08,6.31,11708163,L,44,S3,EMP00155,2.3,False,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.20596019357807885
EMP00089,Yani Pudjiastuti,Engineering,1,Staff,2019-04-14,5.72,16205679,L,35,S2,EMP00155,2.8,True,14795718.7,13486210.5,14745058.0,15908522.0,70,above_p75,0.09905834212384923
EMP00090,Asirwanda Yulianti,Engineering,3,Specialist,2022-06-26,2.52,24064319,L,49,S1,EMP00155,2.3,True,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p50_to_p75,0.03280995089582543
EMP00091,Dt. Bakiman Prakasa,Engineering,3,Specialist,2019-10-22,5.19,19935966,L,43,S1,EMP00155,2.4,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,below_p25,-0.14437370675144204
EMP00092,Hasim Laksita,Engineering,1,Staff,2023-05-16,1.63,15072416,L,40,S1,EMP00155,3.7,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.022201201243155503
EMP00093,Gabriella Wacana,Engineering,4,Lead,2020-02-23,4.85,22456454,P,48,S1,,1.6,False,24546487.85714286,22680203.5,24457318.0,26287897.75,14,below_p25,-0.08181044217522133
EMP00094,Catur Wibowo,Engineering,2,Senior Staff,2020-02-04,4.91,17962034,L,39,S1,EMP00155,3.2,True,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p25_to_p50,-0.06270522526497756
EMP00095,Harsaya Saptono,Engineering,3,Specialist,2021-06-29,3.51,30612794,L,43,S1,EMP00155,3.6,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,above_p75,0.313862165304741
EMP00096,"KH. Jaeman Suwarno, S.Farm",Engineering,1,Staff,2022-11-30,2.09,11570392,L,51,S1,EMP00155,3.6,False,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.2153037309178438
EMP00097,"Uchita Puspita, M.Kom.",Engineering,1,Staff,2023-05-14,1.63,16381277,P,32,S1,EMP00155,3.7,False,14795718.7,13486210.5,14745058.0,15908522.0,70,above_p75,0.11096728137658055
EMP00098,Dadap Sihombing,Engineering,1,Staff,2021-06-30,3.5,14960535,P,34,S1,EMP00155,2.8,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.01461350643720764
EMP00099,Asmianto Prastuti,Engineering,3,Specialist,2020-11-23,4.1,20803214,P,31,S1,EMP00155,1.6,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,below_p25,-0.10715252611905003
EMP00100,"Puput Halim, S.Psi",Engineering,3,Specialist,2019-04-24,5.69,23710497,P,29,S2,EMP00155,4.9,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p50_to_p75,0.017624360875768654
EMP00101,Asirwanda Padmasari,Engineering,3,Specialist,2020-06-30,4.5,27147204,P,35,S2,EMP00155,3.0,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,above_p75,0.16512345228630637
EMP00102,Olivia Nuraini,Engineering,3,Specialist,2021-05-20,3.62,28170391,L,27,S1,EMP00155,3.1,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,above_p75,0.20903733637449715
EMP00103,Asmianto Melani,Engineering,1,Staff,2023-03-02,1.83,13250621,L,23,S1,EMP00155,3.0,False,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.10135172069177348
EMP00104,Soleh Nashiruddin,Engineering,3,Specialist,2022-07-01,2.5,21687937,L,37,S1,EMP00155,2.8,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p25_to_p50,-0.06918134072267927
EMP00105,Legawa Hidayat,Engineering,3,Specialist,2021-06-30,3.5,21764602,L,28,S2,EMP00155,3.9,True,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p25_to_p50,-0.06589097647487203
EMP00106,"Setya Prakasa, S.Sos",Engineering,2,Senior Staff,2023-01-16,1.96,15624030,P,22,S2,EMP00155,2.4,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,below_p25,-0.18470693913043296
EMP00107,Wardaya Purnawati,Engineering,3,Specialist,2021-01-23,3.94,15981065,L,29,S1,EMP00155,2.4,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,below_p25,-0.31411302526728496
EMP00108,Labuh Riyanti,Engineering,1,Staff,2022-08-03,2.41,12681190,L,49,S1,EMP00155,3.8,True,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.13997015135511845
EMP00109,Lukman Hutapea,Engineering,2,Senior Staff,2023-10-23,1.19,21070181,P,49,S1,EMP00155,4.1,True,19160183.29032258,17140453.0,19163698.0,21001369.25,62,above_p75,0.09948408704833482
EMP00110,Sakura Padmasari,Engineering,1,Staff,2023-06-10,1.56,11348378,P,39,S1,EMP00155,3.6,False,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.23036057233549032
EMP00111,Drs. Iriana Rajata,Engineering,1,Staff,2019-01-31,5.92,15025787,P,45,S3,EMP00155,3.0,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.019038853560291183
EMP00112,Mulyono Sihotang,Engineering,1,Staff,2023-06-29,1.51,17052607,L,32,S1,EMP00155,3.9,False,14795718.7,13486210.5,14745058.0,15908522.0,70,above_p75,0.1564964342629239
EMP00113,Eman Widodo,Engineering,3,Specialist,2020-06-28,4.51,23680076,L,31,S1,EMP00155,2.1,True,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p50_to_p75,0.0163187302648961
EMP00114,Mumpuni Yuliarti,Engineering,4,Lead,2019-05-12,5.64,32186563,L,43,S1,,3.4,False,24546487.85714286,22680203.5,24457318.0,26287897.75,14,above_p75,0.31602995062663863
EMP00115,Michelle Sihotang,Engineering,2,Senior Staff,2020-04-21,4.7,18920606,L,42,S3,EMP00155,2.4,True,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p25_to_p50,-0.01268502561457606
EMP00116,"R. Adika Haryanti, M.Ak",Engineering,2,Senior Staff,2020-10-20,4.2,19462934,P,39,S1,EMP00155,3.4,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p50_to_p75,0.01561473156172676
EMP00117,Puti Belinda Nasyiah,Engineering,1,Staff,2020-01-11,4.97,16195500,L,23,S1,EMP00155,3.6,False,14795718.7,13486210.5,14745058.0,15908522.0,70,above_p75,0.09836800913228012
EMP00118,Jono Saptono,Engineering,3,Specialist,2023-01-29,1.92,22631716,L,28,S1,EMP00155,2.9,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p25_to_p50,-0.028675546951972056
EMP00119,Wardi Tampubolon,Engineering,3,Specialist,2021-01-17,3.95,22058124,L,43,D3,EMP00155,2.5,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p25_to_p50,-0.05329338572622693
EMP00120,Tasnim Prasasta,Engineering,2,Senior Staff,2023-09-24,1.27,17384866,L,45,S1,EMP00155,3.1,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p25_to_p50,-0.0928230031594111
EMP00121,Intan Manullang,Engineering,1,Staff,2021-05-23,3.61,13955365,P,26,S1,EMP00155,4.4,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p25_to_p50,-0.05355645260940988
EMP00122,Zahra Palastri,Engineering,1,Staff,2022-01-27,2.93,15065640,P,36,S1,EMP00155,3.5,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.021741657442107043
EMP00123,"Ilsa Suryatmi, M.TI.",Engineering,4,Lead,2021-01-15,3.96,22164654,P,45,D3,,3.1,False,24546487.85714286,22680203.5,24457318.0,26287897.75,14,below_p25,-0.0937414315011973
EMP00124,Mulyanto Puspasari,Engineering,4,Lead,2023-11-26,1.1,24960014,P,28,S2,,4.8,False,24546487.85714286,22680203.5,24457318.0,26287897.75,14,p50_to_p75,0.020554011686808833
EMP00125,Salimah Jailani,Engineering,2,Senior Staff,2020-07-12,4.47,30205432,P,33,S2,EMP00155,3.9,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,above_p75,0.5761797122872632
EMP00126,Eman Latupono,Engineering,3,Specialist,2021-03-14,3.8,22605158,L,36,S1,EMP00155,3.6,True,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p25_to_p50,-0.02981538251830956
EMP00127,Paiman Puspasari,Engineering,3,Specialist,2023-09-01,1.33,19418231,P,32,S1,EMP00155,2.5,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,below_p25,-0.16659423416080069
EMP00128,Empluk Suryono,Engineering,1,Staff,2021-05-05,3.66,14111762,L,28,S1,EMP00155,3.0,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p25_to_p50,-0.04294971237142641
