employee_id,full_name,department,job_level,job_level_name,hire_date,tenure_years,monthly_salary,gender,age,education,manager_id,engagement_score,is_flight_risk_sim,flight_risk_score,salary_increase_needed,retention_bonus_estimated,total_retention_cost,replacement_cost,net_savings_if_retained
EMP00063,R.M. Eman Nuraini,Engineering,4,Lead,2020-02-28,4.84,26615266,P,37,S1,,2.7,True,0.9148558365631142,2661526.6,5323053.2,37261372.400000006,159691596,122430223.6
EMP00030,"Cut Ghaliyati Firmansyah, S.Psi",Engineering,4,Lead,2018-11-18,6.12,26609112,L,22,S1,,3.6,True,0.963923621826549,2660911.2,5321822.4,37252756.800000004,159654672,122401915.19999999
EMP00748,Olivia Gunarto,Data & Analytics,2,Senior Staff,2021-09-13,3.3,26036566,P,33,S2,EMP00728,3.9,True,0.9650187565867492,2603656.6,5207313.2,36451192.400000006,156219396,119768203.6
EMP00205,Cakrawangsa Pradipta,Product,3,Specialist,2019-03-22,5.78,25719234,L,51,S1,EMP00254,3.1,True,0.9395136099008512,2571923.4000000004,5143846.800000001,36006927.60000001,154315404,118308476.39999999
EMP00427,Daryani Nasyiah,Sales,4,Lead,2020-05-17,4.62,25388502,P,39,S2,,3.4,True,0.9618207999191988,2538850.2,5077700.4,35543902.800000004,152331012,116787109.19999999
EMP00976,Karen Kurniawan,Research,2,Senior Staff,2019-08-19,5.37,25106732,L,40,S1,EMP00942,4.0,True,0.9522798713369244,2510673.2,5021346.4,35149424.800000004,150640392,115490967.19999999
EMP00149,Ani Halimah,Engineering,4,Lead,2019-02-18,5.87,24350546,P,31,S1,,2.1,True,0.9756337292327344,2435054.6,4870109.2,34090764.400000006,146103276,112012511.6
EMP00090,Asirwanda Yulianti,Engineering,3,Specialist,2022-06-26,2.52,24064319,L,49,S1,EMP00155,2.3,True,0.9602753230263268,2406431.9,4812863.8,33690046.599999994,144385914,110695867.4
EMP00113,Eman Widodo,Engineering,3,Specialist,2020-06-28,4.51,23680076,L,31,S1,EMP00155,2.1,True,0.9923012339334216,2368007.6,4736015.2,33152106.400000002,142080456,108928349.6
EMP00988,R.M. Mahdi Wibowo,Research,3,Specialist,2019-05-14,5.63,23560622,P,50,S1,EMP00942,3.7,True,0.9957729913857664,2356062.2,4712124.4,32984870.800000004,141363732,108378861.19999999
EMP00139,Dian Gunarto,Engineering,3,Specialist,2018-12-25,6.02,23498090,P,40,S2,EMP00155,2.9,True,0.9935019029900236,2349809.0,4699618.0,32897326.0,140988540,108091214.0
EMP00042,"Ir. Indra Riyanti, S.Pt",Engineering,3,Specialist,2019-02-06,5.9,23404485,P,25,S2,EMP00155,3.5,True,0.8900901578942394,2340448.5,4680897.0,32766279.0,140426910,107660631.0
EMP00019,dr. Ratih Nababan,Engineering,2,Senior Staff,2022-11-27,2.09,23352153,P,31,S1,EMP00155,2.7,True,0.9444568799430568,2335215.3000000003,4670430.600000001,32693014.200000003,140112918,107419903.8
EMP00332,Prasetyo Waskita,Marketing,3,Specialist,2023-05-28,1.6,23219093,L,42,D3,EMP00318,4.2,True,0.9299687896025346,2321909.3000000003,4643818.600000001,32506730.200000003,139314558,106807827.8
EMP00700,Zulfa Hutapea,Data & Analytics,2,Senior Staff,2019-03-10,5.81,23183719,P,43,S3,EMP00728,2.3,True,0.9698448379308454,2318371.9,4636743.8,32457206.599999998,139102314,106645107.4
EMP00945,Halim Wibowo,Research,2,Senior Staff,2022-08-06,2.4,23145336,L,31,S2,EMP00942,3.1,True,0.9658640123482296,2314533.6,4629067.2,32403470.400000002,138872016,106468545.6
EMP00416,Jaeman Uwais,Sales,6,Senior Manager,2021-09-12,3.3,22941002,L,39,S2,,2.6,True,0.9467719946544264,2294100.2,4588200.4,32117402.800000004,137646012,105528609.19999999
EMP00723,Jaka Maheswara,Data & Analytics,3,Specialist,2020-08-25,4.35,22915595,P,46,S2,EMP00728,3.8,True,0.9836394741502548,2291559.5,4583119.0,32081833.0,137493570,105411737.0
EMP00921,Cahyono Palastri,IT Infrastructure,4,Lead,2023-07-22,1.45,22853450,P,31,D3,,3.3,True,0.9819668152871706,2285345.0,4570690.0,31994830.0,137120700,105125870.0
EMP00737,Diana Saptono,Data & Analytics,2,Senior Staff,2022-06-22,2.53,22616273,L,32,S1,EMP00728,3.5,True,0.922872097005571,2261627.3000000003,4523254.600000001,31662782.200000003,135697638,104034855.8
EMP00126,Eman Latupono,Engineering,3,Specialist,2021-03-14,3.8,22605158,L,36,S1,EMP00155,3.6,True,0.9889690865854616,2260515.8000000003,4521031.600000001,31647221.200000003,135630948,103983726.8
EMP00211,Vera Padmasari,Product,1,Staff,2018-09-02,6.33,22335505,P,24,S1,EMP00254,3.1,True,0.9915940900443884,2233550.5,4467101.0,31269707.0,134013030,102743323.0
EMP00858,"drg. Keisha Hutapea, M.Pd",Customer Success,4,Lead,2023-02-09,1.89,22328760,L,38,S1,,3.6,True,0.9764113491019356,2232876.0,4465752.0,31260264.0,133972560,102712296.0
EMP00906,"T. Harjasa Hastuti, M.Pd",IT Infrastructure,4,Lead,2022-11-08,2.15,22222034,L,26,S2,,3.3,True,0.997283082266413,2222203.4,4444406.8,31110847.599999998,133332204,102221356.4
EMP00062,Maryanto Kusmawati,Engineering,2,Senior Staff,2018-09-12,6.3,22077883,L,49,S1,EMP00155,4.1,True,0.9947004634612648,2207788.3000000003,4415576.600000001,30909036.200000003,132467298,101558261.8
EMP00004,Lantar Anggraini,Engineering,3,Specialist,2020-02-21,4.86,21984461,L,32,D3,EMP00155,3.0,True,0.9953314064615976,2198446.1,4396892.2,30778245.400000002,131906766,101128520.6
EMP00929,Kasiyah Halim,IT Infrastructure,4,Lead,2020-10-08,4.23,21902063,P,48,S1,,4.2,True,0.9063848864497728,2190206.3000000003,4380412.600000001,30662888.200000003,131412378,100749489.8
EMP00048,Endah Hasanah,Engineering,3,Specialist,2023-09-24,1.27,21865666,P,28,D3,EMP00155,4.3,True,0.975066189302444,2186566.6,4373133.2,30611932.400000002,131193996,100582063.6
EMP00105,Legawa Hidayat,Engineering,3,Specialist,2021-06-30,3.5,21764602,L,28,S2,EMP00155,3.9,True,0.9482653685219976,2176460.2,4352920.4,30470442.800000004,130587612,100117169.19999999
EMP00365,Najam Megantara,Sales,4,Lead,2021-05-08,3.65,21692208,L,23,S2,,4.0,True,0.9542885510366864,2169220.8000000003,4338441.600000001,30369091.200000003,130153248,99784156.8
EMP00171,"Ida Puspasari, S.E.I",Engineering,1,Staff,2023-11-20,1.11,21685933,L,38,S1,EMP00155,4.8,True,0.9519706172940104,2168593.3000000003,4337186.600000001,30360306.200000003,130115598,99755291.8
EMP00449,"R.M. Balapati Wijayanti, S.Ked",Sales,3,Specialist,2018-10-30,6.17,21673618,L,26,D3,EMP00474,2.7,True,0.9957504893757108,2167361.8000000003,4334723.600000001,30343065.200000003,130041708,99698642.8
EMP00235,Salsabila Latupono,Product,2,Senior Staff,2021-01-05,3.99,21664158,P,46,S1,EMP00254,3.4,True,0.9887936833561712,2166415.8000000003,4332831.600000001,30329821.200000003,129984948,99655126.8
EMP00997,Gadang Ardianto,Research,2,Senior Staff,2022-07-05,2.49,21496892,L,48,S2,EMP00942,3.1,True,0.986054208458826,2149689.2,4299378.4,30095648.800000004,128981352,98885703.19999999
EMP00385,Daru Hariyah,Sales,2,Senior Staff,2022-01-07,2.98,21476336,L,27,S2,EMP00474,2.8,True,0.9909067906775688,2147633.6,4295267.2,30066870.400000002,128858016,98791145.6
EMP00741,T. Bagya Winarno,Data & Analytics,2,Senior Staff,2019-08-11,5.39,21366854,P,35,S2,EMP00728,2.7,True,0.9996181053511796,2136685.4,4273370.8,29913595.599999998,128201124,98287528.4
EMP00164,"Maya Adriansyah, M.TI.",Engineering,3,Specialist,2020-11-05,4.15,21313160,L,48,D3,EMP00155,3.6,True,0.9139190870537324,2131316.0,4262632.0,29838424.0,127878960,98040536.0
EMP00470,Mila Pradana,Sales,3,Specialist,2019-07-29,5.43,21220567,P,50,S1,EMP00474,3.8,True,0.9846320607315028,2122056.7,4244113.4,29708793.800000004,127323402,97614608.19999999
EMP00109,Lukman Hutapea,Engineering,2,Senior Staff,2023-10-23,1.19,21070181,P,49,S1,EMP00155,4.1,True,0.9461766158420498,2107018.1,4214036.2,29498253.400000002,126421086,96922832.6
EMP00399,dr. Gawati Usada,Sales,3,Specialist,2020-06-20,4.53,21057980,P,31,S1,EMP00474,3.0,True,0.9990203876807118,2105798.0,4211596.0,29481172.0,126347880,96866708.0
EMP00318,Tgk. Aisyah Iswahyudi,Marketing,4,Lead,2019-05-02,5.67,20902285,L,31,S1,,3.7,True,0.9985099353592098,2090228.5,4180457.0,29263199.0,125413710,96150511.0
EMP00168,Salimah Maheswara,Engineering,2,Senior Staff,2020-07-18,4.45,20794934,L,28,S2,EMP00155,3.7,True,0.8552521456077546,2079493.4000000001,4158986.8000000003,29112907.6,124769604,95656696.4
EMP00827,"Banara Hastuti, S.Pd",Customer Success,5,Manager,2019-02-26,5.85,20760260,P,30,S1,,2.9,True,0.9975820410830064,2076026.0,4152052.0,29064364.0,124561560,95497196.0
EMP00253,"drg. Jaka Fujiati, M.Farm",Product,1,Staff,2018-11-09,6.14,20646903,P,43,S1,EMP00254,2.2,True,0.9785407366150064,2064690.3,4129380.6,28905664.200000003,123881418,94975753.8
EMP00935,Anita Mardhiyah,Research,2,Senior Staff,2019-05-11,5.64,20626591,P,25,S1,EMP00942,3.9,True,0.9882262398587736,2062659.1,4125318.2,28877227.400000002,123759546,94882318.6
EMP00443,Budi Pratiwi,Sales,3,Specialist,2020-05-29,4.59,20567645,L,26,S1,EMP00474,4.3,True,0.977685179708908,2056764.5,4113529.0,28794703.0,123405870,94611167.0
EMP00922,Fitria Namaga,IT Infrastructure,3,Specialist,2020-04-01,4.75,20565350,P,39,S1,EMP00925,3.2,True,0.9365990660757308,2056535.0,4113070.0,28791490.0,123392100,94600610.0
EMP00738,"Karimah Waskita, S.I.Kom",Data & Analytics,2,Senior Staff,2021-12-02,3.08,20557669,L,27,S1,EMP00728,4.0,True,0.9937248343600624,2055766.9000000001,4111533.8000000003,28780736.6,123346014,94565277.4
EMP00742,drg. Prakosa Pudjiastuti,Data & Analytics,2,Senior Staff,2022-10-24,2.19,20514090,L,34,S1,EMP00728,3.5,True,0.992398178543178,2051409.0,4102818.0,28719726.0,123084540,94364814.0
EMP00218,Harsaya Sirait,Product,2,Senior Staff,2022-07-31,2.42,20494043,L,31,S2,EMP00254,2.7,True,0.9945565663181524,2049404.3,4098808.6,28691660.200000003,122964258,94272597.8
EMP01000,Juli Astuti,Research,2,Senior Staff,2022-04-07,2.74,20493201,L,34,S2,EMP00942,3.4,True,0.991414396139808,2049320.1,4098640.2,28690481.400000002,122959206,94268724.6
EMP00355,KH. Kenari Waluyo,Sales,3,Specialist,2018-07-28,6.43,20353913,P,38,S2,EMP00474,5.0,True,0.8780512080281146,2035391.3,4070782.6,28495478.200000003,122123478,93627999.8
EMP00862,"Genta Adriansyah, S.Ked",IT Infrastructure,3,Specialist,2023-05-05,1.66,20231032,L,47,S2,EMP00925,3.9,True,0.9920511349192856,2023103.2000000002,4046206.4000000004,28323444.800000004,121386192,93062747.19999999
EMP00428,Harsanto Hasanah,Sales,3,Specialist,2021-07-01,3.5,20071002,L,42,S1,EMP00474,4.3,True,0.8898212635380962,2007100.2000000002,4014200.4000000004,28099402.800000004,120426012,92326609.19999999
EMP00228,"dr. Estiawan Andriani, S.T.",Product,2,Senior Staff,2018-12-13,6.05,19906156,L,49,S2,EMP00254,2.4,True,0.9814043952648234,1990615.6,3981231.2,27868618.400000002,119436936,91568317.6
EMP00037,T. Pangeran Padmasari,Engineering,1,Staff,2022-06-21,2.53,19758568,P,29,S1,EMP00155,5.0,True,0.965418383441461,1975856.8,3951713.6,27661995.200000003,118551408,90889412.8
EMP00181,Oliva Wijayanti,Engineering,2,Senior Staff,2022-05-11,2.64,19692645,L,51,S1,EMP00155,2.9,True,0.9523100929241448,1969264.5,3938529.0,27569703.0,118155870,90586167.0
EMP00474,"Dodo Wahyudin, S.E.I",Sales,4,Lead,2019-01-19,5.95,19510506,L,37,S1,,3.5,True,0.9968012090450186,1951050.6,3902101.2,27314708.400000002,117063036,89748327.6
EMP00033,"Iriana Prabowo, M.Kom.",Engineering,2,Senior Staff,2018-09-28,6.26,19444578,L,49,S1,EMP00155,3.3,True,0.985876099795626,1944457.8,3888915.6,27222409.200000003,116667468,89445058.8
EMP00934,H. Endra Nasyiah,Research,1,Staff,2018-08-06,6.4,19276939,L,51,D3,EMP00942,3.0,True,0.9981435011693668,1927693.9000000001,3855387.8000000003,26987714.6,115661634,88673919.4
EMP00028,Humaira Uyainah,Engineering,1,Staff,2023-11-22,1.11,19214964,L,50,S1,EMP00155,4.7,True,0.9796096817947404,1921496.4000000001,3842992.8000000003,26900949.6,115289784,88388834.4
EMP00878,Ratih Rahimah,IT Infrastructure,3,Specialist,2021-01-10,3.97,19042428,L,36,S3,EMP00925,2.9,True,0.9334278249318312,1904242.8,3808485.6,26659399.200000003,114254568,87595168.8
EMP00311,Asmuni Marbun,Marketing,4,Lead,2022-09-12,2.3,18977731,L,46,S1,,3.3,True,0.9204863125209606,1897773.1,3795546.2,26568823.400000002,113866386,87297562.6
EMP00389,Jelita Rahmawati,Sales,2,Senior Staff,2019-08-11,5.39,18971106,P,27,S1,EMP00474,3.6,True,0.9474139923514228,1897110.6,3794221.2,26559548.400000002,113826636,87267087.6
EMP00115,Michelle Sihotang,Engineering,2,Senior Staff,2020-04-21,4.7,18920606,L,42,S3,EMP00155,2.4,True,0.8920876946442238,1892060.6,3784121.2,26488848.400000002,113523636,87034787.6
EMP00236,R.A. Nadia Rajasa,Product,1,Staff,2018-11-26,6.1,18896441,P,28,S2,EMP00254,2.7,True,0.9880492257542816,1889644.1,3779288.2,26455017.400000002,113378646,86923628.6
EMP00856,"Ir. Omar Yuliarti, S.Farm",Customer Success,4,Lead,2022-12-26,2.02,18676503,P,30,S3,,3.8,True,0.9967920162661552,1867650.3,3735300.6,26147104.200000003,112059018,85911913.8
EMP00905,Kusuma Sinaga,IT Infrastructure,2,Senior Staff,2021-02-12,3.88,18581485,P,30,S1,EMP00925,2.9,True,0.9862420520091456,1858148.5,3716297.0,26014079.0,111488910,85474831.0
EMP00910,"Tgk. Vinsen Putra, S.I.Kom",IT Infrastructure,3,Specialist,2020-07-27,4.43,18580470,L,37,S1,EMP00925,2.9,True,0.9736847587175282,1858047.0,3716094.0,26012658.0,111482820,85470162.0
EMP00610,Raisa Ardianto,Operations,3,Specialist,2019-07-01,5.5,18554304,L,36,S1,EMP00601,4.2,True,0.9415810974256432,1855430.4000000001,3710860.8000000003,25976025.6,111325824,85349798.4
EMP00993,Novi Hutagalung,Research,2,Senior Staff,2022-07-21,2.45,18499921,P,22,S1,EMP00942,4.5,True,0.9759559188900708,1849992.1,3699984.2,25899889.400000002,110999526,85099636.6
EMP00547,Garan Mayasari,Finance,3,Specialist,2023-02-21,1.86,18256020,P,35,S1,EMP00523,2.6,True,0.9213441908100772,1825602.0,3651204.0,25558428.0,109536120,83977692.0
EMP00199,Hana Prayoga,Engineering,2,Senior Staff,2023-07-19,1.45,18049163,P,49,S1,EMP00155,3.2,True,0.939225234784416,1804916.3,3609832.6,25268828.200000003,108294978,83026149.8
EMP00039,Gawati Mandala,Engineering,2,Senior Staff,2021-06-18,3.54,18015556,P,25,S1,EMP00155,3.6,True,0.9548793687625634,1801555.6,3603111.2,25221778.400000002,108093336,82871557.6
EMP00732,drg. Dimas Pratama,Data & Analytics,1,Staff,2021-03-20,3.78,17986552,P,25,S1,EMP00728,2.2,True,0.978997234997732,1798655.2000000002,3597310.4000000004,25181172.800000004,107919312,82738139.19999999
EMP00852,"Bella Namaga, S.Gz",Customer Success,4,Lead,2021-11-14,3.13,17971468,P,45,S1,,5.0,True,0.9963465615646824,1797146.8,3594293.6,25160055.200000003,107828808,82668752.8
EMP00094,Catur Wibowo,Engineering,2,Senior Staff,2020-02-04,4.91,17962034,L,39,S1,EMP00155,3.2,True,0.9421088794504654,1796203.4000000001,3592406.8000000003,25146847.6,107772204,82625356.4
EMP00328,Talia Lailasari,Marketing,3,Specialist,2020-11-24,4.1,17921462,L,34,S1,EMP00318,1.7,True,0.9705584512746472,1792146.2000000002,3584292.4000000004,25090046.800000004,107528772,82438725.19999999
EMP00370,Jamalia Utami,Sales,3,Specialist,2019-05-30,5.59,17877412,P,42,S1,EMP00474,2.9,True,0.9996990899223704,1787741.2000000002,3575482.4000000004,25028376.800000004,107264472,82236095.19999999
EMP00472,Lidya Kuswoyo,Sales,2,Senior Staff,2022-11-03,2.16,17822411,P,47,S1,EMP00474,3.5,True,0.8843324043851447,1782241.1,3564482.2,24951375.400000002,106934466,81983090.6
EMP00270,Tgk. Irwan Pudjiastuti,Marketing,3,Specialist,2019-02-10,5.89,17718859,P,30,S1,EMP00318,2.7,True,0.9939848302589568,1771885.9000000001,3543771.8000000003,24806402.6,106313154,81506751.4
EMP00709,Arsipatra Yuniar,Data & Analytics,1,Staff,2022-02-03,2.91,17707946,L,28,S2,EMP00728,3.1,True,0.9902425426974024,1770794.6,3541589.2,24791124.400000002,106247676,81456551.6
EMP00027,"Hesti Marpaung, M.M.",Engineering,2,Senior Staff,2021-05-21,3.61,17629165,P,31,S1,EMP00155,4.2,True,0.9260933207121752,1762916.5,3525833.0,24680831.0,105774990,81094159.0
EMP00715,Mutia Hidayanto,Data & Analytics,2,Senior Staff,2022-12-22,2.03,17445796,P,31,S1,EMP00728,2.5,True,0.998446430353479,1744579.6,3489159.2,24424114.400000002,104674776,80250661.6
EMP00524,"Suci Agustina, S.Pd",Finance,3,Specialist,2022-08-21,2.36,17384694,L,44,S2,EMP00523,3.1,True,0.8171591663760099,1738469.4000000001,3476938.8000000003,24338571.6,104308164,79969592.4
EMP00065,"H. Muhammad Pangestu, S.Pd",Engineering,1,Staff,2022-09-27,2.26,17241077,P,48,S1,EMP00155,3.1,True,0.9068044248219442,1724107.7000000002,3448215.4000000004,24137507.800000004,103446462,79308954.19999999
EMP00475,"Virman Kusmawati, S.Pt",Sales,3,Specialist,2019-06-14,5.55,17140347,L,45,D3,EMP00474,3.1,True,0.9998633785286444,1714034.7000000002,3428069.4000000004,23996485.800000004,102842082,78845596.19999999
EMP00733,dr. Alika Hardiansyah,Data & Analytics,1,Staff,2019-03-01,5.84,16992352,L,31,D3,EMP00728,3.9,True,0.9790173910123496,1699235.2000000002,3398470.4000000004,23789292.800000004,101954112,78164819.19999999
EMP00749,Aris Mandala,Data & Analytics,1,Staff,2022-02-26,2.84,16864776,P,31,S1,EMP00728,2.5,True,0.940806440885764,1686477.6,3372955.2,23610686.400000002,101188656,77577969.6
EMP00001,"Balidin Dongoran, S.T.",Engineering,1,Staff,2023-06-10,1.56,16787219,P,45,S2,EMP00155,4.2,True,0.8819481151257184,1678721.9000000001,3357443.8000000003,23502106.6,100723314,77221207.4
EMP00713,Syahrini Sihombing,Data & Analytics,1,Staff,2019-12-24,5.02,16759858,L,39,S1,EMP00728,2.8,True,0.980459906656006,1675985.8,3351971.6,23463801.200000003,100559148,77095346.8
EMP00706,Cawisono Wahyuni,Data & Analytics,2,Senior Staff,2022-04-17,2.71,16725982,L,49,S1,EMP00728,3.9,True,0.9946202530471372,1672598.2000000002,3345196.4000000004,23416374.800000004,100355892,76939517.19999999
EMP00672,Oman Nashiruddin,Operations,4,Lead,2020-09-29,4.25,16695231,L,28,S1,,3.0,True,0.9865806986263024,1669523.1,3339046.2,23373323.400000002,100171386,76798062.6
EMP00886,"Harjaya Novitasari, S.Psi",IT Infrastructure,2,Senior Staff,2022-03-24,2.77,16681239,L,32,S1,EMP00925,3.3,True,0.9929866886810664,1668123.9000000001,3336247.8000000003,23353734.6,100087434,76733699.4
EMP00410,Yunita Laksmiwati,Sales,2,Senior Staff,2022-02-18,2.87,16600735,L,28,S3,EMP00474,2.8,True,0.9929056504669652,1660073.5,3320147.0,23241029.0,99604410,76363381.0
EMP00717,Novi Hariyah,Data & Analytics,2,Senior Staff,2023-08-14,1.38,16538616,L,38,S1,EMP00728,4.0,True,0.9717130698153216,1653861.6,3307723.2,23154062.400000002,99231696,76077633.6
EMP00227,Jane Sirait,Product,1,Staff,2019-10-16,5.21,16380901,P,34,S1,EMP00254,2.8,True,0.9811874073705964,1638090.1,3276180.2,22933261.400000002,98285406,75352144.6
EMP00431,Safina Januar,Sales,1,Staff,2023-02-10,1.89,16274780,P,51,S1,EMP00474,3.5,True,0.999494791596688,1627478.0,3254956.0,22784692.0,97648680,74863988.0
EMP00390,Suci Anggraini,Sales,3,Specialist,2022-10-09,2.23,16229887,L,44,D3,EMP00474,2.5,True,0.9245503390009636,1622988.7000000002,3245977.4000000004,22721841.800000004,97379322,74657480.19999999
EMP00089,Yani Pudjiastuti,Engineering,1,Staff,2019-04-14,5.72,16205679,L,35,S2,EMP00155,2.8,True,0.9360023996037812,1620567.9000000001,3241135.8000000003,22687950.6,97234074,74546123.4
EMP00362,Ani Mahendra,Sales,3,Specialist,2019-02-19,5.86,16201546,L,33,S1,EMP00474,3.7,True,0.9856148525720052,1620154.6,3240309.2,22682164.400000002,97209276,74527111.6
EMP00707,Ir. Jessica Pratiwi,Data & Analytics,1,Staff,2020-09-01,4.33,16172687,P,40,S1,EMP00728,4.9,True,0.9966592564401012,1617268.7000000002,3234537.4000000004,22641761.800000004,97036122,74394360.19999999
EMP00867,Enteng Nainggolan,IT Infrastructure,2,Senior Staff,2023-07-10,1.48,16127233,L,44,S1,EMP00925,4.4,True,0.9461752521363146,1612723.3,3225446.6,22578126.200000003,96763398,74185271.8
EMP00614,Carla Suwarno,Operations,3,Specialist,2021-11-19,3.12,16071686,L,47,S2,EMP00601,4.0,True,0.9707740235926912,1607168.6,3214337.2,22500360.400000002,96430116,73929755.6
EMP00367,Jarwadi Saptono,Sales,1,Staff,2021-11-12,3.13,15940515,L,22,S1,EMP00474,4.0,True,0.9605079603307268,1594051.5,3188103.0,22316721.0,95643090,73326369.0
EMP00817,"Praba Nababan, S.E.",Customer Success,3,Specialist,2023-10-29,1.17,15933080,L,23,S1,EMP00846,1.0,True,0.9110403345380752,1593308.0,3186616.0,22306312.0,95598480,73292168.0
EMP00950,"Puti Paris Gunarto, S.H.",Research,2,Senior Staff,2021-07-24,3.44,15830994,P,27,S1,EMP00942,3.9,True,0.9921725747190788,1583099.4000000001,3166198.8000000003,22163391.6,94985964,72822572.4
EMP00955,Wisnu Sihotang,Research,1,Staff,2023-03-12,1.81,15818171,P,32,S1,EMP00942,3.9,True,0.918435211063232,1581817.1,3163634.2,22145439.400000002,94909026,72763586.6
EMP00349,Drs. Ulva Mansur,Sales,3,Specialist,2019-08-12,5.39,15807440,L,40,S2,EMP00474,2.1,True,0.9559717822689314,1580744.0,3161488.0,22130416.0,94844640,72714224.0
EMP00911,Laras Gunawan,IT Infrastructure,2,Senior Staff,2023-03-22,1.78,15763475,P,36,S1,EMP00925,3.8,True,0.9906705584573507,1576347.5,3152695.0,22068865.0,94580850,72511985.0
EMP00419,Cici Wulandari,Sales,2,Senior Staff,2023-10-22,1.19,15698579,P,50,S1,EMP00474,3.9,True,0.973049286124914,1569857.9000000001,3139715.8000000003,21978010.6,94191474,72213463.4
EMP00013,"Tgk. Baktiono Iswahyudi, S.Sos",Engineering,2,Senior Staff,2022-02-12,2.88,15671093,L,22,S1,EMP00155,3.8,True,0.9944806835131644,1567109.3,3134218.6,21939530.200000003,94026558,72087027.8
EMP00011,"KH. Capa Anggraini, S.Psi",Engineering,2,Senior Staff,2018-08-15,6.38,15484519,L,28,S1,EMP00155,2.4,True,0.9555346375979132,1548451.9000000001,3096903.8000000003,21678326.6,92907114,71228787.4
EMP00968,"drg. Joko Pradana, S.I.Kom",Research,1,Staff,2023-04-08,1.73,15377001,P,29,S3,EMP00942,3.2,True,0.9971947006949232,1537700.1,3075400.2,21527801.400000002,92262006,70734204.6
EMP00415,Eman Nasyiah,Sales,2,Senior Staff,2019-09-22,5.28,15286574,P,51,S1,EMP00474,3.0,True,0.9745941016923608,1528657.4000000001,3057314.8000000003,21401203.6,91719444,70318240.4
EMP00142,Mulyanto Jailani,Engineering,2,Senior Staff,2022-05-16,2.63,15279048,L,41,S1,EMP00155,3.3,True,0.9915092349077478,1527904.8,3055809.6,21390667.200000003,91674288,70283620.8
EMP00924,Salman Hutagalung,IT Infrastructure,1,Staff,2021-12-29,3.01,15276178,L,23,D3,EMP00925,4.8,True,0.9387680985591168,1527617.8,3055235.6,21386649.200000003,91657068,70270418.8
EMP00484,Drs. Gabriella Mangunsong,Sales,2,Senior Staff,2020-01-08,4.98,15126997,L,25,S1,EMP00474,3.1,True,0.9932608475579808,1512699.7000000002,3025399.4000000004,21177795.800000004,90761982,69584186.19999999
EMP00828,Halim Mardhiyah,Customer Success,3,Specialist,2019-02-24,5.85,15045762,L,36,S1,EMP00846,2.5,True,0.9977817802122472,1504576.2000000002,3009152.4000000004,21064066.800000004,90274572,69210505.19999999
EMP00326,Juli Sinaga,Marketing,3,Specialist,2022-10-06,2.24,15033523,L,31,S1,EMP00318,2.4,True,0.9776517973054656,1503352.3,3006704.6,21046932.200000003,90201138,69154205.8
EMP00439,Warta Hasanah,Sales,1,Staff,2022-12-17,2.04,15030658,L,47,S1,EMP00474,3.8,True,0.978965435538357,1503065.8,3006131.6,21042921.200000003,90183948,69141026.8
