employee_id,full_name,department,job_level,job_level_name,hire_date,tenure_years,monthly_salary,gender,age,education,manager_id,engagement_score,is_flight_risk_sim
EMP00049,Xanana Saptono,Engineering,2,Senior Staff,2021-02-05,3.9,15727215,P,50,S2,EMP00155,3.0,False
EMP00050,KH. Cemani Mayasari,Engineering,2,Senior Staff,2018-11-24,6.1,15622461,L,50,S1,EMP00155,2.7,False
EMP00051,Tedi Utami,Engineering,1,Staff,2023-11-17,1.12,15700698,L,39,S1,EMP00155,3.6,False
EMP00052,Zaenab Uyainah,Engineering,3,Specialist,2023-03-03,1.83,17748058,L,49,S2,EMP00155,4.5,False
EMP00053,Drs. Dalimin Mangunsong,Engineering,3,Specialist,2022-10-18,2.2,23299852,L,42,S1,EMP00155,3.7,False
EMP00054,Vanesa Marpaung,Engineering,2,Senior Staff,2022-03-26,2.77,21783817,P,26,S1,EMP00155,2.8,False
EMP00055,KH. Virman Nuraini,Engineering,2,Senior Staff,2018-10-20,6.2,21281784,P,50,S2,EMP00155,3.2,False
EMP00056,Liman Sinaga,Engineering,5,Manager,2021-08-20,3.36,29090833,P,25,D3,,2.1,False
EMP00057,Anita Kusumo,Engineering,1,Staff,2023-05-28,1.6,12432364,L,35,S2,EMP00155,2.4,False
EMP00058,Yance Samosir,Engineering,1,Staff,2019-12-09,5.06,10607217,P,45,S1,EMP00155,3.3,True
EMP00059,Asmianto Permadi,Engineering,1,Staff,2020-04-30,4.67,15314290,L,51,S1,EMP00155,3.9,False
EMP00060,Puti Chelsea Laksita,Engineering,2,Senior Staff,2021-06-23,3.52,21205763,L,26,D3,EMP00155,3.2,False
EMP00061,"Puti Vanya Nasyidah, S.E.I",Engineering,1,Staff,2023-01-29,1.92,12349052,L,23,S2,EMP00155,2.5,False
EMP00062,Maryanto Kusmawati,Engineering,2,Senior Staff,2018-09-12,6.3,22077883,L,49,S1,EMP00155,4.1,True
EMP00063,R.M. Eman Nuraini,Engineering,4,Lead,2020-02-28,4.84,26615266,P,37,S1,,2.7,True
EMP00064,"Ir. Lintang Prabowo, M.Pd",Engineering,3,Specialist,2023-11-01,1.17,29125986,P,30,D3,EMP00155,2.5,True
EMP00065,"H. Muhammad Pangestu, S.Pd",Engineering,1,Staff,2022-09-27,2.26,17241077,P,48,S1,EMP00155,3.1,True
EMP00066,Salsabila Yulianti,Engineering,2,Senior Staff,2020-12-28,4.01,19697526,L,45,S1,EMP00155,3.7,False
EMP00067,Maida Maryati,Engineering,2,Senior Staff,2021-01-08,3.98,22162077,L,42,S1,EMP00155,3.7,False
EMP00068,Devi Prayoga,Engineering,2,Senior Staff,2023-03-23,1.78,19205992,P,25,S1,EMP00155,4.3,False
EMP00069,Atma Sirait,Engineering,1,Staff,2018-09-06,6.32,11817896,L,34,S1,EMP00155,1.7,True
EMP00070,Lanjar Puspasari,Engineering,3,Specialist,2021-05-06,3.66,19476364,P,36,S1,EMP00155,3.7,False
EMP00071,Lanjar Prasetya,Engineering,2,Senior Staff,2020-08-05,4.41,21994039,L,31,S1,EMP00155,2.6,False
EMP00072,Bagus Usamah,Engineering,2,Senior Staff,2019-07-24,5.44,20456697,P,44,S1,EMP00155,3.2,False
EMP00073,Dartono Hidayat,Engineering,3,Specialist,2021-02-12,3.88,26477845,L,47,S1,EMP00155,3.7,False
EMP00074,Satya Sitompul,Engineering,1,Staff,2019-12-24,5.02,14263575,L,31,S1,EMP00155,1.9,False
EMP00075,Kamidin Prakasa,Engineering,1,Staff,2022-08-18,2.37,9615447,P,40,S1,EMP00155,3.1,False
EMP00076,Salsabila Laksita,Engineering,1,Staff,2019-10-06,5.24,14345720,L,42,S1,EMP00155,3.3,True
EMP00077,Kayun Mustofa,Engineering,1,Staff,2021-05-27,3.6,17162426,P,26,S3,EMP00155,4.6,False
EMP00078,"Queen Permata, M.Kom.",Engineering,4,Lead,2020-05-29,4.59,24564090,L,26,S1,,4.4,False
EMP00079,Purwanto Kusmawati,Engineering,1,Staff,2018-12-18,6.04,14023935,L,26,S1,EMP00155,3.5,False
EMP00080,"dr. Dadap Kuswoyo, S.IP",Engineering,1,Staff,2018-07-20,6.45,13330642,P,39,S1,EMP00155,2.0,False
EMP00081,"Irfan Thamrin, S.Farm",Engineering,2,Senior Staff,2021-09-22,3.27,19330844,L,42,S2,EMP00155,2.8,False
EMP00082,Nadia Habibi,Engineering,2,Senior Staff,2022-02-18,2.87,25443358,P,36,S2,EMP00155,3.4,False
EMP00083,"Martani Yuliarti, S.IP",Engineering,1,Staff,2021-11-06,3.15,14841809,L,32,S1,EMP00155,3.7,False
EMP00084,Hadi Sirait,Engineering,2,Senior Staff,2022-03-19,2.79,17000730,P,27,D3,EMP00155,3.9,False
EMP00085,"R. Drajat Nababan, S.Kom",Engineering,1,Staff,2021-09-05,3.32,15433287,L,30,S2,EMP00155,2.4,False
EMP00086,drg. Cahyono Anggraini,Engineering,1,Staff,2020-05-29,4.59,12611360,L,49,S1,EMP00155,3.1,False
EMP00087,Estiawan Hariyah,Engineering,1,Staff,2019-07-22,5.45,15539224,L,35,S1,EMP00155,4.4,False
EMP00088,Taufan Hutagalung,Engineering,1,Staff,2018-09-08,6.31,11708163,L,44,S3,EMP00155,2.3,False
EMP00089,Yani Pudjiastuti,Engineering,1,Staff,2019-04-14,5.72,16205679,L,35,S2,EMP00155,2.8,True
EMP00090,Asirwanda Yulianti,Engineering,3,Specialist,2022-06-26,2.52,24064319,L,49,S1,EMP00155,2.3,True
EMP00091,Dt. Bakiman Prakasa,Engineering,3,Specialist,2019-10-22,5.19,19935966,L,43,S1,EMP00155,2.4,False
EMP00092,Hasim Laksita,Engineering,1,Staff,2023-05-16,1.63,15072416,L,40,S1,EMP00155,3.7,False
EMP00093,Gabriella Wacana,Engineering,4,Lead,2020-02-23,4.85,22456454,P,48,S1,,1.6,False
EMP00094,Catur Wibowo,Engineering,2,Senior Staff,2020-02-04,4.91,17962034,L,39,S1,EMP00155,3.2,True
EMP00095,Harsaya Saptono,Engineering,3,Specialist,2021-06-29,3.51,30612794,L,43,S1,EMP00155,3.6,False
EMP00096,"KH. Jaeman Suwarno, S.Farm",Engineering,1,Staff,2022-11-30,2.09,11570392,L,51,S1,EMP00155,3.6,False
EMP00097,"Uchita Puspita, M.Kom.",Engineering,1,Staff,2023-05-14,1.63,16381277,P,32,S1,EMP00155,3.7,False
EMP00098,Dadap Sihombing,Engineering,1,Staff,2021-06-30,3.5,14960535,P,34,S1,EMP00155,2.8,False
EMP00099,Asmianto Prastuti,Engineering,3,Specialist,2020-11-23,4.1,20803214,P,31,S1,EMP00155,1.6,False
EMP00100,"Puput Halim, S.Psi",Engineering,3,Specialist,2019-04-24,5.69,23710497,P,29,S2,EMP00155,4.9,False
EMP00101,Asirwanda Padmasari,Engineering,3,Specialist,2020-06-30,4.5,27147204,P,35,S2,EMP00155,3.0,False
EMP00102,Olivia Nuraini,Engineering,3,Specialist,2021-05-20,3.62,28170391,L,27,S1,EMP00155,3.1,False
EMP00103,Asmianto Melani,Engineering,1,Staff,2023-03-02,1.83,13250621,L,23,S1,EMP00155,3.0,False
EMP00104,Soleh Nashiruddin,Engineering,3,Specialist,2022-07-01,2.5,21687937,L,37,S1,EMP00155,2.8,False
EMP00105,Legawa Hidayat,Engineering,3,Specialist,2021-06-30,3.5,21764602,L,28,S2,EMP00155,3.9,True
EMP00106,"Setya Prakasa, S.Sos",Engineering,2,Senior Staff,2023-01-16,1.96,15624030,P,22,S2,EMP00155,2.4,False
EMP00107,Wardaya Purnawati,Engineering,3,Specialist,2021-01-23,3.94,15981065,L,29,S1,EMP00155,2.4,False
EMP00108,Labuh Riyanti,Engineering,1,Staff,2022-08-03,2.41,12681190,L,49,S1,EMP00155,3.8,True
EMP00109,Lukman Hutapea,Engineering,2,Senior Staff,2023-10-23,1.19,21070181,P,49,S1,EMP00155,4.1,True
EMP00110,Sakura Padmasari,Engineering,1,Staff,2023-06-10,1.56,11348378,P,39,S1,EMP00155,3.6,False
EMP00111,Drs. Iriana Rajata,Engineering,1,Staff,2019-01-31,5.92,15025787,P,45,S3,EMP00155,3.0,False
EMP00112,Mulyono Sihotang,Engineering,1,Staff,2023-06-29,1.51,17052607,L,32,S1,EMP00155,3.9,False
EMP00113,Eman Widodo,Engineering,3,Specialist,2020-06-28,4.51,23680076,L,31,S1,EMP00155,2.1,True
EMP00114,Mumpuni Yuliarti,Engineering,4,Lead,2019-05-12,5.64,32186563,L,43,S1,,3.4,False
EMP00115,Michelle Sihotang,Engineering,2,Senior Staff,2020-04-21,4.7,18920606,L,42,S3,EMP00155,2.4,True
EMP00116,"R. Adika Haryanti, M.Ak",Engineering,2,Senior Staff,2020-10-20,4.2,19462934,P,39,S1,EMP00155,3.4,False
EMP00117,Puti Belinda Nasyiah,Engineering,1,Staff,2020-01-11,4.97,16195500,L,23,S1,EMP00155,3.6,False
EMP00118,Jono Saptono,Engineering,3,Specialist,2023-01-29,1.92,22631716,L,28,S1,EMP00155,2.9,False
EMP00119,Wardi Tampubolon,Engineering,3,Specialist,2021-01-17,3.95,22058124,L,43,D3,EMP00155,2.5,False
EMP00120,Tasnim Prasasta,Engineering,2,Senior Staff,2023-09-24,1.27,17384866,L,45,S1,EMP00155,3.1,False
EMP00121,Intan Manullang,Engineering,1,Staff,2021-05-23,3.61,13955365,P,26,S1,EMP00155,4.4,False
EMP00122,Zahra Palastri,Engineering,1,Staff,2022-01-27,2.93,15065640,P,36,S1,EMP00155,3.5,False
EMP00123,"Ilsa Suryatmi, M.TI.",Engineering,4,Lead,2021-01-15,3.96,22164654,P,45,D3,,3.1,False
EMP00124,Mulyanto Puspasari,Engineering,4,Lead,2023-11-26,1.1,24960014,P,28,S2,,4.8,False
EMP00125,Salimah Jailani,Engineering,2,Senior Staff,2020-07-12,4.47,30205432,P,33,S2,EMP00155,3.9,False
EMP00126,Eman Latupono,Engineering,3,Specialist,2021-03-14,3.8,22605158,L,36,S1,EMP00155,3.6,True
EMP00127,Paiman Puspasari,Engineering,3,Specialist,2023-09-01,1.33,19418231,P,32,S1,EMP00155,2.5,False
EMP00128,Empluk Suryono,Engineering,1,Staff,2021-05-05,3.66,14111762,L,28,S1,EMP00155,3.0,False
EMP00129,R.A. Tina Siregar,Engineering,2,Senior Staff,2023-06-09,1.56,14117311,L,50,S2,EMP00155,2.1,True
EMP00130,Mahfud Usada,Engineering,2,Senior Staff,2022-04-17,2.71,21613998,L,48,S1,EMP00155,2.7,False
EMP00131,"Tgk. Ophelia Lestari, S.T.",Engineering,1,Staff,2018-11-04,6.16,10306710,L,31,S1,EMP00155,2.0,False
EMP00132,"Cut Cornelia Usada, S.Farm",Engineering,2,Senior Staff,2023-06-24,1.52,21946215,L,29,S1,EMP00155,3.0,False
EMP00133,"Tgk. Aurora Adriansyah, S.Psi",Engineering,2,Senior Staff,2019-06-01,5.59,18339870,L,34,S2,EMP00155,4.4,False
EMP00134,"R.M. Makuta Saptono, S.E.",Engineering,2,Senior Staff,2020-01-01,5.0,15954756,L,25,S1,EMP00155,2.8,False
EMP00135,"Maimunah Puspasari, S.Farm",Engineering,3,Specialist,2019-03-07,5.82,27909316,L,43,S1,EMP00155,3.6,False
EMP00136,Dt. Balidin Hutagalung,Engineering,2,Senior Staff,2023-09-22,1.28,17209754,L,50,S1,EMP00155,3.4,False
EMP00137,"Eka Palastri, S.Gz",Engineering,2,Senior Staff,2019-06-20,5.53,18766929,P,35,S1,EMP00155,3.6,False
EMP00138,"dr. Restu Puspasari, S.E.I",Engineering,1,Staff,2021-11-28,3.09,14803574,P,38,S1,EMP00155,4.1,True
EMP00139,Dian Gunarto,Engineering,3,Specialist,2018-12-25,6.02,23498090,P,40,S2,EMP00155,2.9,True
EMP00140,Karimah Gunarto,Engineering,1,Staff,2019-07-07,5.49,16051711,L,44,S1,EMP00155,3.6,False
EMP00141,Fathonah Zulaika,Engineering,5,Manager,2023-08-12,1.39,29991361,P,45,S1,,3.8,True
EMP00142,Mulyanto Jailani,Engineering,2,Senior Staff,2022-05-16,2.63,15279048,L,41,S1,EMP00155,3.3,True
EMP00143,Victoria Purwanti,Engineering,2,Senior Staff,2021-07-30,3.42,19388150,P,26,S1,EMP00155,3.9,False
EMP00144,"drg. Raina Mangunsong, S.H.",Engineering,1,Staff,2022-04-15,2.71,16032567,L,41,S1,EMP00155,3.8,False
EMP00145,"R. Wirda Nugroho, S.Farm",Engineering,3,Specialist,2018-08-08,6.4,18226470,P,47,S1,EMP00155,3.4,False
EMP00146,Cemani Sitorus,Engineering,3,Specialist,2019-11-14,5.13,28089799,L,41,S1,EMP00155,4.5,False
EMP00147,"dr. Rama Winarsih, S.H.",Engineering,2,Senior Staff,2023-02-11,1.89,19121404,L,43,S1,EMP00155,4.1,False
EMP00148,Endah Kurniawan,Engineering,2,Senior Staff,2021-06-01,3.58,19731675,P,35,D3,EMP00155,3.9,False
EMP00149,Ani Halimah,Engineering,4,Lead,2019-02-18,5.87,24350546,P,31,S1,,2.1,True
EMP00150,Daliono Haryanti,Engineering,2,Senior Staff,2019-03-22,5.78,20576487,L,30,S1,EMP00155,3.5,False
EMP00151,Ina Pradana,Engineering,2,Senior Staff,2020-12-22,4.02,13519894,L,43,S2,EMP00155,3.4,False
EMP00152,Ajiono Wahyuni,Engineering,1,Staff,2021-02-12,3.88,16132314,P,33,S1,EMP00155,3.0,False
EMP00153,Heru Sitompul,Engineering,3,Specialist,2022-12-20,2.03,19497700,P,50,S1,EMP00155,4.2,False
EMP00154,Zelaya Hidayat,Engineering,1,Staff,2019-07-22,5.45,16271894,P,29,S2,EMP00155,2.6,False
EMP00155,"T. Gara Yuniar, M.TI.",Engineering,5,Manager,2022-08-30,2.34,24400412,L,44,S1,,4.5,False
EMP00156,Shania Nasyiah,Engineering,2,Senior Staff,2021-06-06,3.57,23319764,L,39,D3,EMP00155,3.1,False
EMP00157,Ana Latupono,Engineering,3,Specialist,2023-09-16,1.29,27946282,L,32,S1,EMP00155,3.4,False
EMP00158,Elma Prastuti,Engineering,1,Staff,2021-06-28,3.51,15519046,P,51,S3,EMP00155,4.4,False
EMP00159,Ani Kurniawan,Engineering,2,Senior Staff,2020-07-04,4.49,20007014,P,24,S1,EMP00155,3.4,False
EMP00160,drg. Jelita Sihotang,Engineering,3,Specialist,2020-02-01,4.91,21585251,P,46,S1,EMP00155,2.9,False
EMP00161,Rachel Melani,Engineering,3,Specialist,2023-11-30,1.09,28513941,L,51,S1,EMP00155,3.8,False
EMP00162,Harsana Permata,Engineering,3,Specialist,2022-12-17,2.04,24324021,P,34,S2,EMP00155,2.7,False
EMP00163,Dodo Gunawan,Engineering,3,Specialist,2018-11-14,6.13,28124049,P,34,S1,EMP00155,3.0,False
EMP00164,"Maya Adriansyah, M.TI.",Engineering,3,Specialist,2020-11-05,4.15,21313160,L,48,D3,EMP00155,3.6,True
EMP00165,"Dr. Mahfud Winarsih, S.Kom",Engineering,2,Senior Staff,2023-06-14,1.55,18239095,L,35,S1,EMP00155,3.3,False
EMP00166,Mala Hidayat,Engineering,1,Staff,2023-07-27,1.43,14419611,L,47,S1,EMP00155,3.0,True
EMP00167,"Viman Sitompul, M.Ak",Engineering,2,Senior Staff,2020-10-01,4.25,18501915,L,29,S1,EMP00155,3.4,False
EMP00168,Salimah Maheswara,Engineering,2,Senior Staff,2020-07-18,4.45,20794934,L,28,S2,EMP00155,3.7,True
EMP00169,"Ifa Mayasari, S.Pd",Engineering,3,Specialist,2023-08-04,1.41,23439253,L,33,S2,EMP00155,3.1,False
EMP00170,"Hasan Simbolon, S.Sos",Engineering,1,Staff,2018-10-12,6.22,12126553,L,51,S1,EMP00155,2.3,False
EMP00171,"Ida Puspasari, S.E.I",Engineering,1,Staff,2023-11-20,1.11,21685933,L,38,S1,EMP00155,4.8,True
EMP00172,Imam Widiastuti,Engineering,2,Senior Staff,2021-11-30,3.09,16143475,L,36,S1,EMP00155,3.4,False
EMP00173,Shania Natsir,Engineering,3,Specialist,2019-11-07,5.15,18456967,L,30,D3,EMP00155,3.9,False
EMP00174,Ir. Ilsa Waskita,Engineering,2,Senior Staff,2023-11-14,1.13,19806265,L,28,S1,EMP00155,3.9,False
EMP00175,Dt. Gadang Suwarno,Engineering,3,Specialist,2019-05-22,5.61,30071694,P,50,S1,EMP00155,4.6,False
EMP00176,Irfan Prastuti,Engineering,1,Staff,2019-02-09,5.89,13945000,P,24,S1,EMP00155,3.5,True
EMP00177,Hj. Janet Hastuti,Engineering,1,Staff,2022-01-24,2.93,21121577,L,32,S2,EMP00155,3.7,False
EMP00178,Maimunah Wulandari,Engineering,1,Staff,2023-09-30,1.25,12198936,L,49,S2,EMP00155,2.2,False
EMP00179,Kajen Kusmawati,Engineering,4,Lead,2018-09-23,6.27,27919165,L,44,S1,,3.7,True
EMP00180,"KH. Oman Narpati, S.Pt",Engineering,3,Specialist,2021-05-24,3.61,24494374,L,50,S1,EMP00155,3.1,False
EMP00181,Oliva Wijayanti,Engineering,2,Senior Staff,2022-05-11,2.64,19692645,L,51,S1,EMP00155,2.9,True
EMP00182,"Lukman Sitorus, S.Pt",Engineering,4,Lead,2018-08-16,6.38,22589208,L,25,S1,,4.3,False
EMP00183,"R.A. Samiah Saragih, S.H.",Engineering,1,Staff,2021-11-16,3.12,14618904,L,49,S1,EMP00155,2.4,False
EMP00184,"Sutan Cakrajiya Dongoran, S.Gz",Engineering,1,Staff,2022-05-08,2.65,13650518,L,41,S1,EMP00155,4.0,False
EMP00185,Jaswadi Suryatmi,Engineering,2,Senior Staff,2021-03-21,3.78,21127181,L,43,S2,EMP00155,3.1,False
EMP00186,"Puti Mutia Agustina, M.Farm",Engineering,3,Specialist,2018-09-07,6.32,24595131,L,49,S2,EMP00155,4.2,False
EMP00187,Nasim Winarno,Engineering,2,Senior Staff,2018-12-13,6.05,17136853,L,39,S1,EMP00155,4.3,False
EMP00188,Lalita Prasasta,Engineering,1,Staff,2023-02-08,1.89,16901899,L,47,S2,EMP00155,3.5,False
EMP00189,Marwata Ardianto,Engineering,3,Specialist,2018-08-03,6.41,23080111,L,33,S1,EMP00155,2.9,False
EMP00190,"KH. Timbul Kurniawan, S.Farm",Engineering,1,Staff,2022-08-15,2.38,13583253,P,50,S1,EMP00155,2.7,False
EMP00191,Cecep Maryati,Engineering,3,Specialist,2023-04-15,1.71,25193690,P,25,S1,EMP00155,3.3,False
EMP00192,Alika Puspita,Engineering,2,Senior Staff,2018-11-17,6.12,15708369,L,33,S1,EMP00155,3.8,False
EMP00193,Vero Maheswara,Engineering,2,Senior Staff,2019-12-24,5.02,19838022,L,48,S1,EMP00155,2.3,False
EMP00194,Diana Hariyah,Engineering,1,Staff,2023-04-23,1.69,15523666,L,33,S1,EMP00155,4.2,False
EMP00195,"Karta Purwanti, M.Ak",Engineering,1,Staff,2020-10-27,4.18,12766637,P,27,S2,EMP00155,4.0,False
EMP00196,Usyi Handayani,Engineering,3,Specialist,2022-08-07,2.4,33788724,L,24,D3,EMP00155,3.4,False
EMP00197,Drs. Maria Pudjiastuti,Engineering,1,Staff,2022-10-26,2.18,21211147,L,38,S2,EMP00155,3.7,False
EMP00198,Endah Kusmawati,Engineering,3,Specialist,2021-10-28,3.18,18536337,L,23,S1,EMP00155,3.7,False
EMP00199,Hana Prayoga,Engineering,2,Senior Staff,2023-07-19,1.45,18049163,P,49,S1,EMP00155,3.2,True
EMP00200,"Hj. Ika Nurdiyanti, M.Kom.",Engineering,2,Senior Staff,2019-08-27,5.35,15833778,P,27,S2,EMP00155,4.2,False
EMP00201,"Digdaya Saefullah, M.M.",Product,2,Senior Staff,2023-03-27,1.77,17685137,L,51,S1,EMP00254,3.5,False
EMP00202,Nasab Suwarno,Product,4,Lead,2018-09-18,6.29,37859904,L,48,S1,,1.2,False
EMP00203,Empluk Sitorus,Product,3,Specialist,2022-11-14,2.13,22939302,P,33,S1,EMP00254,3.7,False
EMP00204,Puput Hutapea,Product,3,Specialist,2023-06-15,1.55,20392234,L,23,S2,EMP00254,4.8,False
EMP00205,Cakrawangsa Pradipta,Product,3,Specialist,2019-03-22,5.78,25719234,L,51,S1,EMP00254,3.1,True
EMP00206,Talia Mangunsong,Product,3,Specialist,2021-12-15,3.04,26964404,P,49,S2,EMP00254,3.9,False
EMP00207,"Gabriella Haryanto, S.Farm",Product,4,Lead,2020-07-20,4.45,27720264,P,50,S1,,4.9,False
EMP00208,Julia Namaga,Product,2,Senior Staff,2022-03-01,2.84,23857410,P,45,S1,EMP00254,4.5,False
EMP00209,Lidya Halim,Product,3,Specialist,2019-07-25,5.44,30194557,L,28,S1,EMP00254,3.1,False
EMP00210,Rafi Andriani,Product,2,Senior Staff,2021-01-20,3.95,21062983,L,37,S1,EMP00254,1.3,False
EMP00211,Vera Padmasari,Product,1,Staff,2018-09-02,6.33,22335505,P,24,S1,EMP00254,3.1,True
EMP00212,"Ayu Permata, S.Sos",Product,1,Staff,2021-04-03,3.75,17142144,P,48,S1,EMP00254,3.8,False
EMP00213,Agnes Thamrin,Product,5,Manager,2021-06-17,3.54,36493359,P,41,S2,,4.7,False
EMP00214,Umi Wibisono,Product,3,Specialist,2020-02-13,4.88,31315708,L,33,S1,EMP00254,3.3,False
EMP00215,"drg. Paulin Palastri, M.Ak",Product,2,Senior Staff,2020-09-11,4.3,26636218,P,44,S1,EMP00254,3.4,False
EMP00216,Jinawi Prasetya,Product,1,Staff,2020-11-18,4.12,16975482,L,25,S2,EMP00254,4.6,False
