employee_id,full_name,department,job_level,job_level_name,hire_date,tenure_years,monthly_salary,gender,age,education,manager_id,engagement_score,is_flight_risk_sim,influence_score,network_role,flight_risk_score,knowledge_risk,risk_quadrant
EMP00717,Novi Hariyah,Data & Analytics,2,Senior Staff,2023-08-14,1.38,16538616,L,38,S1,EMP00728,4.0,True,0.1697,Central Connector,0.9717130698153216,0.5707,🟡 Monitor (Low Influence + High Risk)
EMP01000,Juli Astuti,Research,2,Senior Staff,2022-04-07,2.74,20493201,L,34,S2,EMP00942,3.4,True,0.146,Central Connector,0.991414396139808,0.5687,🟡 Monitor (Low Influence + High Risk)
EMP00950,"Puti Paris Gunarto, S.H.",Research,2,Senior Staff,2021-07-24,3.44,15830994,P,27,S1,EMP00942,3.9,True,0.1401,Central Connector,0.9921725747190788,0.5661,🟡 Monitor (Low Influence + High Risk)
EMP00709,Arsipatra Yuniar,Data & Analytics,1,Staff,2022-02-03,2.91,17707946,L,28,S2,EMP00728,3.1,True,0.1255,Central Connector,0.9902425426974024,0.5579,🟡 Monitor (Low Influence + High Risk)
EMP00702,T. Budi Utami,Data & Analytics,1,Staff,2022-05-21,2.61,14441240,P,44,S1,EMP00728,2.9,True,0.2089,Information Broker,0.9056780701901124,0.5573,🟡 Monitor (Low Influence + High Risk)
EMP00988,R.M. Mahdi Wibowo,Research,3,Specialist,2019-05-14,5.63,23560622,P,50,S1,EMP00942,3.7,True,0.1097,Central Connector,0.9957729913857664,0.5527,🟡 Monitor (Low Influence + High Risk)
EMP00707,Ir. Jessica Pratiwi,Data & Analytics,1,Staff,2020-09-01,4.33,16172687,P,40,S1,EMP00728,4.9,True,0.1029,Central Connector,0.9966592564401012,0.5498,🟡 Monitor (Low Influence + High Risk)
EMP00841,Catur Simbolon,Customer Success,3,Specialist,2022-07-28,2.43,12923548,L,23,S1,EMP00846,3.8,True,0.1286,Central Connector,0.9678613934695586,0.5482,🟡 Monitor (Low Influence + High Risk)
EMP00816,"Jessica Sihombing, M.Farm",Customer Success,2,Senior Staff,2022-05-06,2.66,13418456,L,44,S1,EMP00846,5.0,True,0.1022,Central Connector,0.9895900301867738,0.5459,🟡 Monitor (Low Influence + High Risk)
EMP00856,"Ir. Omar Yuliarti, S.Farm",Customer Success,4,Lead,2022-12-26,2.02,18676503,P,30,S3,,3.8,True,0.091,Central Connector,0.9967920162661552,0.5439,🟡 Monitor (Low Influence + High Risk)
EMP00854,Edison Wasita,Customer Success,2,Senior Staff,2019-12-20,5.03,14056801,L,25,S2,EMP00846,4.4,True,0.1083,Central Connector,0.9758013961500994,0.5421,🟡 Monitor (Low Influence + High Risk)
EMP00802,Irma Yuliarti,Customer Success,3,Specialist,2021-12-07,3.07,13291703,P,30,S1,EMP00846,4.1,True,0.1271,Central Connector,0.9557992440088198,0.5414,🟡 Monitor (Low Influence + High Risk)
EMP00852,"Bella Namaga, S.Gz",Customer Success,4,Lead,2021-11-14,3.13,17971468,P,45,S1,,5.0,True,0.0819,Central Connector,0.9963465615646824,0.5391,🟡 Monitor (Low Influence + High Risk)
EMP00728,"dr. Ratih Sihotang, S.Kom",Data & Analytics,4,Lead,2022-02-18,2.87,31360989,P,36,S1,,3.2,True,0.1333,Central Connector,0.9441564504390274,0.5387,🟡 Monitor (Low Influence + High Risk)
EMP00941,Hardi Waskita,Research,2,Senior Staff,2019-11-18,5.12,14583655,P,32,S1,EMP00942,2.9,True,0.0901,Central Connector,0.9857397316166108,0.5379,🟡 Monitor (Low Influence + High Risk)
EMP00410,Yunita Laksmiwati,Sales,2,Senior Staff,2022-02-18,2.87,16600735,L,28,S3,EMP00474,2.8,True,0.077,Central Connector,0.9929056504669652,0.535,🟡 Monitor (Low Influence + High Risk)
EMP00910,"Tgk. Vinsen Putra, S.I.Kom",IT Infrastructure,3,Specialist,2020-07-27,4.43,18580470,L,37,S1,EMP00925,2.9,True,0.0934,Central Connector,0.9736847587175282,0.5335,🟡 Monitor (Low Influence + High Risk)
EMP00270,Tgk. Irwan Pudjiastuti,Marketing,3,Specialist,2019-02-10,5.89,17718859,P,30,S1,EMP00318,2.7,True,0.0731,Central Connector,0.9939848302589568,0.5335,🟡 Monitor (Low Influence + High Risk)
EMP00906,"T. Harjasa Hastuti, M.Pd",IT Infrastructure,4,Lead,2022-11-08,2.15,22222034,L,26,S2,,3.3,True,0.0695,Central Connector,0.997283082266413,0.5334,🟡 Monitor (Low Influence + High Risk)
EMP00968,"drg. Joko Pradana, S.I.Kom",Research,1,Staff,2023-04-08,1.73,15377001,P,29,S3,EMP00942,3.2,True,0.069,Central Connector,0.9971947006949232,0.5331,🟡 Monitor (Low Influence + High Risk)
EMP00205,Cakrawangsa Pradipta,Product,3,Specialist,2019-03-22,5.78,25719234,L,51,S1,EMP00254,3.1,True,0.1123,Central Connector,0.9395136099008512,0.5259,🟡 Monitor (Low Influence + High Risk)
EMP00318,Tgk. Aisyah Iswahyudi,Marketing,4,Lead,2019-05-02,5.67,20902285,L,31,S1,,3.7,True,0.053,Information Broker,0.9985099353592098,0.5258,🟡 Monitor (Low Influence + High Risk)
EMP00431,Safina Januar,Sales,1,Staff,2023-02-10,1.89,16274780,P,51,S1,EMP00474,3.5,True,0.0518,Central Connector,0.999494791596688,0.5256,🟡 Monitor (Low Influence + High Risk)
EMP00623,Fitria Widiastuti,Operations,1,Staff,2022-06-30,2.51,7107465,P,37,S1,EMP00601,2.9,True,0.0764,Central Connector,0.9737509625271976,0.5251,🟡 Monitor (Low Influence + High Risk)
EMP00858,"drg. Keisha Hutapea, M.Pd",Customer Success,4,Lead,2023-02-09,1.89,22328760,L,38,S1,,3.6,True,0.0718,Central Connector,0.9764113491019356,0.5241,🟡 Monitor (Low Influence + High Risk)
EMP00955,Wisnu Sihotang,Research,1,Staff,2023-03-12,1.81,15818171,P,32,S1,EMP00942,3.9,True,0.1287,Central Connector,0.918435211063232,0.5236,🟡 Monitor (Low Influence + High Risk)
EMP00326,Juli Sinaga,Marketing,3,Specialist,2022-10-06,2.24,15033523,L,31,S1,EMP00318,2.4,True,0.0658,Central Connector,0.9776517973054656,0.5217,🟡 Monitor (Low Influence + High Risk)
EMP00806,Zalindra Nugroho,Customer Success,1,Staff,2019-04-07,5.74,11138174,L,27,S2,EMP00846,3.1,True,0.0501,Information Broker,0.992006791865592,0.5211,🟡 Monitor (Low Influence + High Risk)
EMP00328,Talia Lailasari,Marketing,3,Specialist,2020-11-24,4.1,17921462,L,34,S1,EMP00318,1.7,True,0.0715,Central Connector,0.9705584512746472,0.521,🟡 Monitor (Low Influence + High Risk)
EMP00363,Drs. Gamblang Januar,Sales,1,Staff,2023-05-02,1.67,11052931,L,41,S1,EMP00474,4.4,True,0.0427,Information Broker,0.9989865988242242,0.5208,🟡 Monitor (Low Influence + High Risk)
EMP00859,Martani Tampubolon,Customer Success,2,Senior Staff,2022-08-23,2.36,12760975,L,46,S1,EMP00846,3.8,True,0.0416,Information Broker,0.9998990396080416,0.5207,🟡 Monitor (Low Influence + High Risk)
EMP00828,Halim Mardhiyah,Customer Success,3,Specialist,2019-02-24,5.85,15045762,L,36,S1,EMP00846,2.5,True,0.0431,Central Connector,0.9977817802122472,0.5204,🟡 Monitor (Low Influence + High Risk)
EMP00646,Jessica Nashiruddin,Operations,1,Staff,2022-01-22,2.94,8672800,P,29,S3,EMP00601,2.6,True,0.0431,Information Broker,0.9951952806094146,0.5191,🟡 Monitor (Low Influence + High Risk)
EMP00062,Maryanto Kusmawati,Engineering,2,Senior Staff,2018-09-12,6.3,22077883,L,49,S1,EMP00155,4.1,True,0.0431,Information Broker,0.9947004634612648,0.5189,🟡 Monitor (Low Influence + High Risk)
EMP00620,Drs. Dimas Megantara,Operations,2,Senior Staff,2019-03-06,5.82,9296897,P,25,S1,EMP00601,2.5,True,0.0502,Information Broker,0.986345099872618,0.5183,🟡 Monitor (Low Influence + High Risk)
EMP00700,Zulfa Hutapea,Data & Analytics,2,Senior Staff,2019-03-10,5.81,23183719,P,43,S3,EMP00728,2.3,True,0.0663,Central Connector,0.9698448379308454,0.5181,🟡 Monitor (Low Influence + High Risk)
EMP00362,Ani Mahendra,Sales,3,Specialist,2019-02-19,5.86,16201546,L,33,S1,EMP00474,3.7,True,0.0497,Information Broker,0.9856148525720052,0.5177,🟡 Monitor (Low Influence + High Risk)
EMP00860,Cemani Nasyiah,Customer Success,1,Staff,2018-10-08,6.23,8278521,P,48,D3,EMP00846,2.5,True,0.0379,Central Connector,0.9974403979635406,0.5177,🟡 Monitor (Low Influence + High Risk)
EMP00785,"dr. Vera Maulana, S.Pd",Customer Success,2,Senior Staff,2021-11-21,3.11,14866216,P,44,S1,EMP00846,2.4,True,0.0937,Central Connector,0.939202971600772,0.5165,🟡 Monitor (Low Influence + High Risk)
EMP00742,drg. Prakosa Pudjiastuti,Data & Analytics,2,Senior Staff,2022-10-24,2.19,20514090,L,34,S1,EMP00728,3.5,True,0.0403,Central Connector,0.992398178543178,0.5163,🟡 Monitor (Low Influence + High Risk)
EMP00845,Diah Mulyani,Customer Success,2,Senior Staff,2023-06-18,1.54,10240329,L,24,S1,EMP00846,3.6,True,0.0446,Information Broker,0.9877916420641112,0.5162,🟡 Monitor (Low Influence + High Risk)
EMP00268,Salimah Prastuti,Marketing,1,Staff,2020-04-05,4.74,10072381,P,44,S1,EMP00318,3.3,True,0.0425,Information Broker,0.9884184594668992,0.5155,🟡 Monitor (Low Influence + High Risk)
EMP00804,"Kemal Pradipta, M.Pd",Customer Success,1,Staff,2022-01-08,2.98,8744654,L,41,S1,EMP00846,2.0,True,0.0425,Information Broker,0.9884533372706876,0.5155,🟡 Monitor (Low Influence + High Risk)
EMP00818,Hj. Latika Aryani,Customer Success,1,Staff,2020-06-12,4.55,11510790,L,32,S1,EMP00846,3.3,True,0.0976,Central Connector,0.9326959667812048,0.5151,🟡 Monitor (Low Influence + High Risk)
EMP00276,"Novi Saefullah, M.Farm",Marketing,1,Staff,2022-12-16,2.04,8716714,P,23,S2,EMP00318,3.8,True,0.0392,Information Broker,0.9910949762564792,0.5151,🟡 Monitor (Low Influence + High Risk)
EMP00862,"Genta Adriansyah, S.Ked",IT Infrastructure,3,Specialist,2023-05-05,1.66,20231032,L,47,S2,EMP00925,3.9,True,0.0379,Information Broker,0.9920511349192856,0.515,🟡 Monitor (Low Influence + High Risk)
EMP00419,Cici Wulandari,Sales,2,Senior Staff,2023-10-22,1.19,15698579,P,50,S1,EMP00474,3.9,True,0.0551,Central Connector,0.973049286124914,0.5141,🟡 Monitor (Low Influence + High Risk)
EMP00626,Dr. Panji Mayasari,Operations,2,Senior Staff,2022-09-12,2.3,11323561,L,26,S1,EMP00601,3.7,True,0.0497,Information Broker,0.9782105940314656,0.514,🟡 Monitor (Low Influence + High Risk)
EMP00921,Cahyono Palastri,IT Infrastructure,4,Lead,2023-07-22,1.45,22853450,P,31,D3,,3.3,True,0.0411,Information Broker,0.9819668152871706,0.5115,🟡 Monitor (Low Influence + High Risk)
EMP00993,Novi Hutagalung,Research,2,Senior Staff,2022-07-21,2.45,18499921,P,22,S1,EMP00942,4.5,True,0.0464,Information Broker,0.9759559188900708,0.5112,🟡 Monitor (Low Influence + High Risk)
EMP00439,Warta Hasanah,Sales,1,Staff,2022-12-17,2.04,15030658,L,47,S1,EMP00474,3.8,True,0.0431,Information Broker,0.978965435538357,0.511,🟡 Monitor (Low Influence + High Risk)
EMP00228,"dr. Estiawan Andriani, S.T.",Product,2,Senior Staff,2018-12-13,6.05,19906156,L,49,S2,EMP00254,2.4,True,0.0381,Information Broker,0.9814043952648234,0.5098,🟡 Monitor (Low Influence + High Risk)
EMP00782,KH. Najam Saefullah,Customer Success,1,Staff,2021-12-29,3.01,9611628,L,25,S1,EMP00846,2.8,True,0.0392,Information Broker,0.9797648970462528,0.5095,🟡 Monitor (Low Influence + High Risk)
EMP00619,Drs. Anita Usamah,Operations,1,Staff,2019-02-10,5.89,10251160,L,51,S1,EMP00601,2.7,True,0.0431,Information Broker,0.974922676102746,0.509,🟡 Monitor (Low Influence + High Risk)
EMP00443,Budi Pratiwi,Sales,3,Specialist,2020-05-29,4.59,20567645,L,26,S1,EMP00474,4.3,True,0.0392,Information Broker,0.977685179708908,0.5084,🟡 Monitor (Low Influence + High Risk)
EMP00253,"drg. Jaka Fujiati, M.Farm",Product,1,Staff,2018-11-09,6.14,20646903,P,43,S1,EMP00254,2.2,True,0.0379,Information Broker,0.9785407366150064,0.5082,🟡 Monitor (Low Influence + High Risk)
EMP00415,Eman Nasyiah,Sales,2,Senior Staff,2019-09-22,5.28,15286574,P,51,S1,EMP00474,3.0,True,0.0392,Information Broker,0.9745941016923608,0.5069,🟡 Monitor (Low Influence + High Risk)
EMP00960,"Usman Namaga, S.Psi",Research,1,Staff,2019-06-10,5.56,10996742,L,33,S1,EMP00942,2.5,True,0.057,Central Connector,0.955805677896618,0.5064,🟡 Monitor (Low Influence + High Risk)
EMP00547,Garan Mayasari,Finance,3,Specialist,2023-02-21,1.86,18256020,P,35,S1,EMP00523,2.6,True,0.0879,Central Connector,0.9213441908100772,0.5046,🟡 Monitor (Low Influence + High Risk)
EMP00455,Melinda Tarihoran,Sales,1,Staff,2021-02-01,3.91,12093661,L,49,S1,EMP00474,3.0,True,0.0092,Information Broker,0.9998256102952544,0.5045,🟡 Monitor (Low Influence + High Risk)
EMP00475,"Virman Kusmawati, S.Pt",Sales,3,Specialist,2019-06-14,5.55,17140347,L,45,D3,EMP00474,3.1,True,0.0092,Information Broker,0.9998633785286444,0.5045,🟡 Monitor (Low Influence + High Risk)
EMP00945,Halim Wibowo,Research,2,Senior Staff,2022-08-06,2.4,23145336,L,31,S2,EMP00942,3.1,True,0.0431,Central Connector,0.9658640123482296,0.5045,🟡 Monitor (Low Influence + High Risk)
EMP00741,T. Bagya Winarno,Data & Analytics,2,Senior Staff,2019-08-11,5.39,21366854,P,35,S2,EMP00728,2.7,True,0.0092,Information Broker,0.9996181053511796,0.5044,🟡 Monitor (Low Influence + High Risk)
EMP00370,Jamalia Utami,Sales,3,Specialist,2019-05-30,5.59,17877412,P,42,S1,EMP00474,2.9,True,0.0092,Information Broker,0.9996990899223704,0.5044,🟡 Monitor (Low Influence + High Risk)
EMP00399,dr. Gawati Usada,Sales,3,Specialist,2020-06-20,4.53,21057980,P,31,S1,EMP00474,3.0,True,0.0092,Information Broker,0.9990203876807118,0.5041,🟡 Monitor (Low Influence + High Risk)
EMP00058,Yance Samosir,Engineering,1,Staff,2019-12-09,5.06,10607217,P,45,S1,EMP00155,3.3,True,0.0092,Information Broker,0.998921294248062,0.5041,🟡 Monitor (Low Influence + High Risk)
EMP00821,Janet Prayoga,Customer Success,3,Specialist,2018-07-14,6.47,13815986,P,35,S1,EMP00846,3.0,True,0.0092,Information Broker,0.9990434300397246,0.5041,🟡 Monitor (Low Influence + High Risk)
EMP00934,H. Endra Nasyiah,Research,1,Staff,2018-08-06,6.4,19276939,L,51,D3,EMP00942,3.0,True,0.0092,Information Broker,0.9981435011693668,0.5037,🟡 Monitor (Low Influence + High Risk)
EMP00827,"Banara Hastuti, S.Pd",Customer Success,5,Manager,2019-02-26,5.85,20760260,P,30,S1,,2.9,True,0.0092,Information Broker,0.9975820410830064,0.5034,🟡 Monitor (Low Influence + High Risk)
EMP00924,Salman Hutagalung,IT Infrastructure,1,Staff,2021-12-29,3.01,15276178,L,23,D3,EMP00925,4.8,True,0.0675,Information Broker,0.9387680985591168,0.5031,🟡 Monitor (Low Influence + High Risk)
EMP00474,"Dodo Wahyudin, S.E.I",Sales,4,Lead,2019-01-19,5.95,19510506,L,37,S1,,3.5,True,0.0092,Central Connector,0.9968012090450186,0.503,🟡 Monitor (Low Influence + High Risk)
EMP00740,Drs. Febi Tarihoran,Data & Analytics,3,Specialist,2022-02-09,2.89,36069697,L,30,S1,EMP00728,2.8,True,0.0092,Information Broker,0.9962348653199284,0.5027,🟡 Monitor (Low Influence + High Risk)
EMP00449,"R.M. Balapati Wijayanti, S.Ked",Sales,3,Specialist,2018-10-30,6.17,21673618,L,26,D3,EMP00474,2.7,True,0.0092,Information Broker,0.9957504893757108,0.5025,🟡 Monitor (Low Influence + High Risk)
EMP00447,Enteng Maulana,Sales,1,Staff,2023-02-14,1.88,11983929,L,47,S1,EMP00474,2.3,True,0.0092,Information Broker,0.9956899096017772,0.5024,🟡 Monitor (Low Influence + High Risk)
EMP00004,Lantar Anggraini,Engineering,3,Specialist,2020-02-21,4.86,21984461,L,32,D3,EMP00155,3.0,True,0.0092,Information Broker,0.9953314064615976,0.5023,🟡 Monitor (Low Influence + High Risk)
EMP00706,Cawisono Wahyuni,Data & Analytics,2,Senior Staff,2022-04-17,2.71,16725982,L,49,S1,EMP00728,3.9,True,0.0092,Central Connector,0.9946202530471372,0.5019,🟡 Monitor (Low Influence + High Risk)
EMP00013,"Tgk. Baktiono Iswahyudi, S.Sos",Engineering,2,Senior Staff,2022-02-12,2.88,15671093,L,22,S1,EMP00155,3.8,True,0.0092,Information Broker,0.9944806835131644,0.5018,🟡 Monitor (Low Influence + High Risk)
EMP00748,Olivia Gunarto,Data & Analytics,2,Senior Staff,2021-09-13,3.3,26036566,P,33,S2,EMP00728,3.9,True,0.0379,Central Connector,0.9650187565867492,0.5015,🟡 Monitor (Low Influence + High Risk)
EMP00738,"Karimah Waskita, S.I.Kom",Data & Analytics,2,Senior Staff,2021-12-02,3.08,20557669,L,27,S1,EMP00728,4.0,True,0.0092,Information Broker,0.9937248343600624,0.5015,🟡 Monitor (Low Influence + High Risk)
EMP00676,Talia Lestari,Operations,3,Specialist,2019-12-11,5.06,12622491,L,28,D3,EMP00601,3.4,True,0.0092,Information Broker,0.993718165440126,0.5015,🟡 Monitor (Low Influence + High Risk)
EMP00139,Dian Gunarto,Engineering,3,Specialist,2018-12-25,6.02,23498090,P,40,S2,EMP00155,2.9,True,0.0092,Information Broker,0.9935019029900236,0.5014,🟡 Monitor (Low Influence + High Risk)
EMP00462,"Maimunah Hidayanto, S.Pt",Sales,2,Senior Staff,2018-10-21,6.2,12935712,L,36,D3,EMP00474,2.1,True,0.0092,Information Broker,0.9932733957729842,0.5012,🟡 Monitor (Low Influence + High Risk)
EMP00484,Drs. Gabriella Mangunsong,Sales,2,Senior Staff,2020-01-08,4.98,15126997,L,25,S1,EMP00474,3.1,True,0.0092,Information Broker,0.9932608475579808,0.5012,🟡 Monitor (Low Influence + High Risk)
EMP00886,"Harjaya Novitasari, S.Psi",IT Infrastructure,2,Senior Staff,2022-03-24,2.77,16681239,L,32,S1,EMP00925,3.3,True,0.0092,Information Broker,0.9929866886810664,0.5011,🟡 Monitor (Low Influence + High Risk)
EMP00113,Eman Widodo,Engineering,3,Specialist,2020-06-28,4.51,23680076,L,31,S1,EMP00155,2.1,True,0.0092,Information Broker,0.9923012339334216,0.5008,🟡 Monitor (Low Influence + High Risk)
EMP00649,Wani Hutasoit,Operations,1,Staff,2019-05-19,5.62,11764278,P,27,S2,EMP00601,3.9,True,0.0092,Information Broker,0.9918438157957282,0.5005,🟡 Monitor (Low Influence + High Risk)
EMP00716,"Almira Manullang, M.M.",Data & Analytics,3,Specialist,2020-06-20,4.53,28253653,P,51,S1,EMP00728,2.7,True,0.077,Central Connector,0.9239762626338088,0.5005,🟡 Monitor (Low Influence + High Risk)
EMP00142,Mulyanto Jailani,Engineering,2,Senior Staff,2022-05-16,2.63,15279048,L,41,S1,EMP00155,3.3,True,0.0092,Information Broker,0.9915092349077478,0.5004,🟡 Monitor (Low Influence + High Risk)
EMP00211,Vera Padmasari,Product,1,Staff,2018-09-02,6.33,22335505,P,24,S1,EMP00254,3.1,True,0.0092,Information Broker,0.9915940900443884,0.5004,🟡 Monitor (Low Influence + High Risk)
EMP00385,Daru Hariyah,Sales,2,Senior Staff,2022-01-07,2.98,21476336,L,27,S2,EMP00474,2.8,True,0.0092,Information Broker,0.9909067906775688,0.5001,🟡 Monitor (Low Influence + High Risk)
EMP00911,Laras Gunawan,IT Infrastructure,2,Senior Staff,2023-03-22,1.78,15763475,P,36,S1,EMP00925,3.8,True,0.0092,Information Broker,0.9906705584573507,0.4999,🟡 Monitor (Low Influence + High Risk)
EMP00076,Salsabila Laksita,Engineering,1,Staff,2019-10-06,5.24,14345720,L,42,S1,EMP00155,3.3,True,0.0092,Information Broker,0.9899413657506024,0.4996,🟡 Monitor (Low Influence + High Risk)
EMP00811,Syahrini Palastri,Customer Success,1,Staff,2022-09-16,2.29,9205316,L,51,S2,EMP00846,3.6,True,0.0392,Information Broker,0.9600944370861092,0.4996,🟡 Monitor (Low Influence + High Risk)
EMP00126,Eman Latupono,Engineering,3,Specialist,2021-03-14,3.8,22605158,L,36,S1,EMP00155,3.6,True,0.0092,Information Broker,0.9889690865854616,0.4991,🟡 Monitor (Low Influence + High Risk)
EMP00460,Aswani Kuswandari,Sales,2,Senior Staff,2020-01-19,4.95,13152887,L,31,S1,EMP00474,2.9,True,0.0092,Information Broker,0.9882905324503052,0.4987,🟡 Monitor (Low Influence + High Risk)
EMP00935,Anita Mardhiyah,Research,2,Senior Staff,2019-05-11,5.64,20626591,P,25,S1,EMP00942,3.9,True,0.0092,Central Connector,0.9882262398587736,0.4987,🟡 Monitor (Low Influence + High Risk)
EMP00610,Raisa Ardianto,Operations,3,Specialist,2019-07-01,5.5,18554304,L,36,S1,EMP00601,4.2,True,0.0559,Information Broker,0.9415810974256432,0.4987,🟡 Monitor (Low Influence + High Risk)
EMP00365,Najam Megantara,Sales,4,Lead,2021-05-08,3.65,21692208,L,23,S2,,4.0,True,0.0431,Information Broker,0.9542885510366864,0.4987,🟡 Monitor (Low Influence + High Risk)
EMP00236,R.A. Nadia Rajasa,Product,1,Staff,2018-11-26,6.1,18896441,P,28,S2,EMP00254,2.7,True,0.0092,Information Broker,0.9880492257542816,0.4986,🟡 Monitor (Low Influence + High Risk)
EMP00672,Oman Nashiruddin,Operations,4,Lead,2020-09-29,4.25,16695231,L,28,S1,,3.0,True,0.0092,Information Broker,0.9865806986263024,0.4979,🟡 Monitor (Low Influence + High Risk)
EMP00905,Kusuma Sinaga,IT Infrastructure,2,Senior Staff,2021-02-12,3.88,18581485,P,30,S1,EMP00925,2.9,True,0.0092,Information Broker,0.9862420520091456,0.4977,🟡 Monitor (Low Influence + High Risk)
EMP00662,Samsul Sudiati,Operations,2,Senior Staff,2021-10-22,3.19,12391247,L,48,S1,EMP00601,3.0,True,0.0092,Information Broker,0.9861594619477728,0.4977,🟡 Monitor (Low Influence + High Risk)
EMP00997,Gadang Ardianto,Research,2,Senior Staff,2022-07-05,2.49,21496892,L,48,S2,EMP00942,3.1,True,0.0092,Central Connector,0.986054208458826,0.4976,🟡 Monitor (Low Influence + High Risk)
EMP00033,"Iriana Prabowo, M.Kom.",Engineering,2,Senior Staff,2018-09-28,6.26,19444578,L,49,S1,EMP00155,3.3,True,0.0092,Information Broker,0.985876099795626,0.4975,🟡 Monitor (Low Influence + High Risk)
EMP00357,"Halima Pertiwi, S.Sos",Sales,1,Staff,2019-03-04,5.83,9102498,P,35,S1,EMP00474,1.9,True,0.0092,Information Broker,0.9847934645106432,0.497,🟡 Monitor (Low Influence + High Risk)
EMP00819,Tgk. Bakianto Wacana,Customer Success,3,Specialist,2021-12-14,3.05,14101748,P,23,S3,EMP00846,2.2,True,0.0392,Information Broker,0.954629435818373,0.4969,🟡 Monitor (Low Influence + High Risk)
EMP00470,Mila Pradana,Sales,3,Specialist,2019-07-29,5.43,21220567,P,50,S1,EMP00474,3.8,True,0.0092,Information Broker,0.9846320607315028,0.4969,🟡 Monitor (Low Influence + High Risk)
EMP00289,"Mahfud Habibi, S.E.I",Marketing,2,Senior Staff,2023-02-20,1.86,12255272,P,22,S2,EMP00318,2.9,True,0.0553,Central Connector,0.93752695653874,0.4964,🟡 Monitor (Low Influence + High Risk)
EMP00723,Jaka Maheswara,Data & Analytics,3,Specialist,2020-08-25,4.35,22915595,P,46,S2,EMP00728,3.8,True,0.0092,Information Broker,0.9836394741502548,0.4964,🟡 Monitor (Low Influence + High Risk)
EMP00671,Hilda Latupono,Operations,1,Staff,2020-06-24,4.52,13557201,L,29,S1,EMP00601,3.8,True,0.0497,Information Broker,0.9425339887114068,0.4961,🟡 Monitor (Low Influence + High Risk)
EMP00949,"drg. Septi Sitompul, M.Farm",Research,3,Specialist,2020-10-31,4.17,30379349,L,38,S1,EMP00942,2.4,True,0.0379,Information Broker,0.95418295246408,0.496,🟡 Monitor (Low Influence + High Risk)
EMP00617,"Putu Oktaviani, M.M.",Operations,1,Staff,2021-07-11,3.47,11212997,P,46,S1,EMP00601,3.3,True,0.0554,Information Broker,0.9363293566717588,0.4959,🟡 Monitor (Low Influence + High Risk)
EMP00105,Legawa Hidayat,Engineering,3,Specialist,2021-06-30,3.5,21764602,L,28,S2,EMP00155,3.9,True,0.0431,Information Broker,0.9482653685219976,0.4957,🟡 Monitor (Low Influence + High Risk)
EMP00976,Karen Kurniawan,Research,2,Senior Staff,2019-08-19,5.37,25106732,L,40,S1,EMP00942,4.0,True,0.0379,Information Broker,0.9522798713369244,0.4951,🟡 Monitor (Low Influence + High Risk)
EMP00713,Syahrini Sihombing,Data & Analytics,1,Staff,2019-12-24,5.02,16759858,L,39,S1,EMP00728,2.8,True,0.0092,Information Broker,0.980459906656006,0.4948,🟡 Monitor (Low Influence + High Risk)
